Province,District,Year,Poverty Rate (%),Access to improved drinking water (% of population),Access to piped water (% of population),Access to improved toilet facilities (% of population),Open defecation (% of population),Access to electricity (% of population),Households' mobile phone ownership (% of population),"Accessibility, health (% of population within 15 minutes to clinic/hospital)","Accessibility, transportation (% of population within 15 minutes to public transportation)",Household size,Household dependency ratio,"Occupancy, present occupancy status-owner (% of population)","Occupancy, present occupancy status-rented (% of population)","Occupancy, present occupancy status-other (% of population)",Improved roof material (% of population),Improved wall material (% of population),Improved roof and wall material (% of population),Household members per room,Overcrowding (% of population),"Labor force participation rate (% of working age population, 15-64 years old)",Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment services (% of total employment),Wage and salaried employment (% of total employment),"Self-employment, non-agriculture (% of total employment)","Self-employment, agriculture (% of total employment)",Unpaid employment (% of total employment),Child labor (% of children aged 10-17),"Net school enrollment, primary school, 6-10 years old (% net)","Net school enrollment, middle school, 11-13 years old (% net)","Youth literacy, 15-24 years old (% of population aged 15-24)","Adult literacy, 25 or more years old (% of population aged 25 or more)","Primary completion rate, 14-17 years old (% of population aged 14-17)","Youth literacy gender parity index, 15-24 years old","Adult literacy gender parity index, 25 or more years old","Primary completion gender parity index, 14-17 years old","Net enrolment rate in primary gender parity index, 6-10 years old","Net enrolment rate in middle school gender parity index, 11-13 years old",Urban share of population (% of population)
Balochistan,Khuzdar,2010,45.0,48.1,43.6,12.45,2.08,70.43,60.76,17.52,95.11,6.22,0.48,87.76,0.58,1.87,16.89,10.25,5.63,2.96,32.29,55.5,46.37,17.74,35.89,48.11,7.88,18.07,25.94,22.74,74.48,33.98,74.28,30.88,73.99,0.6,0.21,0.61,0.85,0.56,27.13
Balochistan,Khuzdar,2012,46.0,59.82,37.17,2.38,2.2,66.58,49.94,28.5,86.3,6.97,0.44,85.32,5.63,12.17,27.45,11.46,9.41,3.64,46.36,63.45,43.42,33.56,23.02,27.41,24.13,22.39,26.07,56.2,61.45,26.57,52.13,31.9,50.3,0.46,0.19,0.58,0.66,0.54,26.18
Balochistan,Khuzdar,2014,49.0,74.07,17.88,5.55,1.15,71.46,72.74,36.64,80.33,8.16,0.46,87.83,4.27,7.42,36.92,10.31,9.3,2.92,31.25,81.65,44.82,36.04,19.14,21.78,32.02,14.35,31.75,72.98,67.34,23.46,53.02,28.31,60.65,0.62,0.19,0.7,0.82,0.33,34.82
Balochistan,Killa Abdullah,2004,65.0,26.84,24.73,3.92,22.03,80.53,3.66,32.41,65.43,7.45,0.49,98.31,0.67,1.03,25.75,31.56,16.0,2.89,29.1,43.12,23.02,19.85,57.14,54.69,18.65,10.97,15.69,24.73,28.45,5.22,40.14,19.58,25.25,0.12,0.04,0.28,0.23,0.09,9.07
Balochistan,Killa Abdullah,2006,88.0,19.29,19.29,7.7,0.0,53.24,21.21,19.24,79.75,10.28,0.47,96.81,1.63,1.56,17.52,9.41,9.1,3.25,38.28,42.27,26.89,3.28,69.83,59.78,10.46,16.94,12.82,25.08,24.78,3.69,56.41,38.32,15.16,0.49,0.36,0.31,0.52,0.51,12.84
Balochistan,Killa Abdullah,2008,62.0,41.9,40.14,7.57,16.89,79.49,38.22,3.55,51.89,9.85,0.42,95.9,1.48,2.62,8.46,7.44,6.59,2.85,36.65,41.36,34.31,13.28,52.41,18.07,44.51,21.3,16.11,23.1,28.6,10.05,44.77,24.8,27.0,0.32,0.17,0.24,0.46,0.28,16.19
Balochistan,Killa Abdullah,2010,33.0,32.14,31.65,23.85,2.54,97.49,93.41,15.32,71.57,5.91,0.35,95.48,1.62,2.92,18.02,10.57,7.56,2.36,17.74,50.96,25.73,14.2,60.07,46.51,24.76,15.34,13.38,11.23,60.52,29.91,49.78,32.7,64.32,0.1,0.12,0.22,0.37,0.29,15.61
Balochistan,Killa Abdullah,2012,51.0,44.64,23.11,8.15,6.11,95.11,88.95,14.19,47.8,10.58,0.5,96.48,1.02,1.5,13.27,12.06,4.87,3.14,45.44,45.39,23.6,23.67,52.73,57.76,19.72,7.92,14.6,22.38,33.91,22.77,44.85,28.95,38.6,0.23,0.1,0.2,0.3,0.13,10.9
Balochistan,Killa Abdullah,2014,66.0,40.05,18.37,10.29,20.56,93.68,91.56,3.84,69.87,9.74,0.47,93.89,0.65,0.65,21.02,7.78,7.37,3.58,58.42,45.36,48.99,12.6,38.41,51.12,15.85,12.41,20.09,31.95,35.73,12.41,32.9,15.74,33.78,0.2,0.03,0.18,0.31,0.45,10.74
Balochistan,Killa Saifullah,2004,66.0,43.02,38.35,3.88,93.58,35.25,0.35,11.51,37.36,6.4,0.47,96.01,1.59,2.4,2.83,33.01,0.94,2.95,33.27,49.07,54.45,29.84,15.7,44.76,3.82,29.73,21.69,44.66,30.17,5.99,28.34,12.45,24.23,0.37,0.12,0.52,0.52,0.89,5.4
Balochistan,Killa Saifullah,2006,80.0,43.8,30.54,9.77,52.03,65.44,17.28,24.18,51.76,7.48,0.49,89.65,2.7,7.65,7.01,10.09,5.37,2.74,23.13,42.96,54.38,6.7,38.93,30.03,14.33,30.08,25.55,24.81,58.31,22.84,34.36,17.89,35.82,0.32,0.06,0.42,0.33,0.32,10.15
Balochistan,Killa Saifullah,2008,73.0,19.99,14.24,2.93,38.02,71.78,17.67,24.01,40.08,7.25,0.49,92.67,2.18,5.15,5.3,12.11,4.21,2.4,14.23,47.21,52.06,4.57,43.37,41.32,13.38,23.87,21.43,18.21,58.45,22.9,41.65,21.74,48.22,0.2,0.09,0.28,0.4,0.3,9.11
Balochistan,Killa Saifullah,2010,48.0,45.55,32.13,15.07,31.69,79.27,69.18,5.72,27.09,5.5,0.4,96.21,1.56,2.15,7.53,5.3,1.46,2.93,35.48,49.73,63.27,19.35,17.38,34.96,3.92,37.41,23.7,30.93,38.84,23.91,49.19,18.76,41.58,0.4,0.07,0.37,0.54,0.27,10.58
Balochistan,Killa Saifullah,2012,46.0,48.65,20.55,3.83,33.24,77.04,56.11,28.58,66.83,7.7,0.57,94.02,1.71,1.95,2.2,8.28,1.98,2.37,6.01,47.99,66.03,7.25,26.72,26.17,13.3,35.2,25.33,29.87,82.24,34.91,42.99,14.14,54.24,0.39,0.06,0.4,0.66,0.18,8.72
Balochistan,Killa Saifullah,2014,46.0,90.52,14.61,18.74,17.0,87.86,95.91,16.43,98.48,6.15,0.44,94.37,3.92,3.92,12.82,65.84,6.0,2.23,8.53,41.29,37.24,18.16,44.6,38.4,24.55,28.86,8.02,9.66,53.79,20.57,45.33,32.28,48.22,0.06,0.0,0.1,0.34,0.07,25.85
Balochistan,Kohlu,2006,83.0,6.24,5.19,5.16,80.26,7.94,3.17,12.06,5.16,6.28,0.49,97.07,0.44,2.48,4.25,5.42,4.15,3.72,43.63,51.87,67.27,9.13,23.59,25.78,10.31,40.99,22.92,38.96,31.41,3.67,26.79,10.58,18.34,0.06,0.18,0.06,0.25,0.14,5.16
Balochistan,Kohlu,2008,87.0,7.44,5.28,5.04,86.52,26.87,7.05,5.05,5.05,6.11,0.34,94.75,0.93,4.32,5.06,49.11,3.97,3.81,59.05,31.94,79.32,6.18,14.5,15.58,5.46,64.3,14.67,13.98,11.65,1.67,9.22,5.56,11.84,0.1,0.09,0.1,0.15,0.35,5.05
Balochistan,Kohlu,2010,51.0,15.46,13.08,2.7,37.77,77.08,26.76,0.79,18.57,5.32,0.42,84.21,3.24,4.67,3.05,16.58,2.43,2.67,21.35,51.63,57.86,10.06,32.08,36.07,6.48,35.38,22.06,37.62,34.71,11.26,36.8,27.59,31.38,0.42,0.13,0.22,0.37,0.07,6.71
Balochistan,Kohlu,2012,49.0,5.5,4.08,3.35,40.85,55.18,7.22,2.75,43.23,6.24,0.52,98.75,0.2,0.61,0.68,4.61,0.64,2.32,10.06,48.42,79.27,4.16,16.57,22.03,4.72,48.03,25.22,42.4,46.96,15.84,18.73,5.74,31.21,0.1,0.01,0.04,0.45,0.11,5.5
Balochistan,Kohlu,2014,61.0,28.74,4.94,9.51,41.18,73.33,98.06,17.13,59.72,6.41,0.52,96.13,1.48,2.35,23.59,17.16,15.96,3.65,55.96,66.45,70.18,5.4,24.42,25.35,4.26,26.67,43.72,36.84,46.16,17.51,52.93,18.22,42.04,0.44,0.07,0.87,0.61,0.11,14.31
Balochistan,Las Bela,2004,65.0,50.29,27.2,6.95,38.51,48.54,2.56,17.97,31.41,7.04,0.42,95.7,2.15,2.16,36.01,32.12,28.06,4.58,69.62,48.48,44.02,15.11,40.87,53.92,13.77,18.23,14.09,32.04,42.14,13.05,44.07,18.09,34.47,0.48,0.12,0.43,0.63,0.52,27.28
Balochistan,Las Bela,2006,79.0,73.01,46.07,16.05,25.15,46.01,12.71,16.18,29.83,6.94,0.4,91.89,5.27,2.85,31.43,27.09,24.28,4.72,68.95,48.03,54.08,9.82,36.1,51.56,11.89,16.74,19.81,38.7,42.68,16.84,40.91,21.42,38.4,0.32,0.11,0.54,0.81,0.52,31.16
Balochistan,Las Bela,2008,76.0,41.85,29.3,13.28,44.31,36.91,30.15,18.71,37.06,4.67,0.29,86.05,0.86,13.09,61.14,48.72,45.0,3.41,39.81,47.34,39.44,14.83,45.74,69.12,14.4,12.3,4.18,18.32,47.73,26.92,58.85,27.09,57.14,0.64,0.29,0.65,0.97,0.94,29.79
Balochistan,Las Bela,2010,55.0,46.31,33.95,10.36,28.89,59.93,55.69,43.24,68.92,6.19,0.38,96.86,1.47,1.71,44.08,35.61,31.81,3.77,58.13,43.48,46.46,17.84,35.7,65.32,11.73,13.07,9.89,16.99,34.06,9.45,38.65,24.31,38.82,0.55,0.23,0.63,0.68,0.79,30.67
Balochistan,Las Bela,2012,41.0,48.82,28.87,15.24,18.29,64.55,67.68,17.39,60.34,5.78,0.37,94.68,2.23,2.85,58.19,49.45,46.2,3.43,46.4,45.64,47.42,11.14,41.45,65.2,16.41,9.11,9.28,23.54,41.69,17.03,49.37,28.09,41.56,0.66,0.27,0.83,0.89,1.02,34.84
Balochistan,Las Bela,2014,53.0,51.88,29.91,22.53,9.26,62.76,65.87,24.66,51.16,5.23,0.34,91.92,5.01,5.95,55.97,62.59,50.03,3.64,51.82,45.29,42.9,22.97,34.13,62.0,14.25,12.89,10.64,10.69,46.79,20.79,45.98,32.94,51.99,0.55,0.49,0.81,0.86,0.77,38.63
Balochistan,Lehri,2004,66.0,48.58,48.06,13.58,65.96,54.35,1.11,8.17,10.79,7.14,0.42,84.16,5.39,10.45,18.98,19.35,13.74,3.04,38.91,45.48,52.92,10.25,36.82,40.32,9.56,28.7,21.42,24.11,43.01,15.29,42.97,22.13,51.64,0.51,0.19,0.73,0.8,0.4,25.76
Balochistan,Lehri,2006,77.0,64.77,52.39,8.9,22.91,76.74,24.79,9.92,11.39,8.44,0.43,78.7,5.94,15.36,20.83,22.03,19.12,3.62,55.18,42.77,53.18,11.14,35.68,38.88,13.75,25.03,22.34,18.31,45.4,21.59,50.03,27.11,51.73,0.55,0.22,0.78,0.75,0.48,25.68
Balochistan,Lehri,2008,64.0,58.04,54.68,25.11,23.84,74.17,38.05,17.23,97.49,7.7,0.42,74.27,5.63,20.1,19.09,22.61,16.72,3.2,40.67,42.44,38.18,9.9,51.92,47.09,16.41,19.34,17.16,14.19,60.75,20.27,58.81,32.29,53.01,0.55,0.24,0.53,0.9,0.62,33.95
Balochistan,Lehri,2010,31.0,76.17,73.37,42.33,3.12,87.27,82.86,46.94,90.39,6.25,0.4,75.68,6.79,15.56,25.77,41.96,22.62,2.47,21.39,44.66,34.74,17.13,48.13,57.07,11.01,18.0,13.92,13.57,75.94,49.35,73.87,42.26,70.75,0.8,0.5,0.8,0.82,0.85,49.12
Balochistan,Lehri,2012,30.0,74.19,70.41,46.9,0.43,89.68,84.17,43.13,78.27,6.3,0.37,80.34,5.53,12.92,55.48,44.63,34.75,3.04,35.68,45.14,25.43,25.2,49.37,69.1,12.97,10.11,7.83,9.15,64.1,34.09,66.92,47.25,64.34,0.74,0.44,0.81,0.86,0.6,57.12
Balochistan,Lehri,2014,49.0,72.58,62.78,31.35,18.69,73.65,84.14,18.84,42.66,6.88,0.44,96.07,1.28,1.91,28.72,24.58,22.5,3.67,49.2,49.53,42.08,23.95,33.97,66.53,7.46,17.22,8.79,19.56,46.09,30.1,50.63,36.22,51.24,0.63,0.39,0.93,0.72,0.75,39.17
Balochistan,Loralai,2004,64.0,37.49,20.03,8.57,41.7,61.81,0.42,24.05,63.65,7.72,0.47,91.6,4.3,4.1,3.59,4.61,2.57,2.56,16.84,46.0,52.83,9.7,37.46,37.23,9.73,27.68,25.36,23.43,45.39,16.32,38.39,22.21,36.02,0.16,0.09,0.19,0.43,0.41,10.33
Balochistan,Loralai,2006,79.0,26.84,19.66,1.85,72.98,51.14,18.17,11.36,40.52,6.93,0.46,94.77,2.34,2.89,7.28,10.19,2.42,2.73,21.01,48.87,52.13,17.9,29.97,36.97,13.8,26.37,22.86,29.82,52.56,12.3,42.69,18.09,36.04,0.2,0.11,0.21,0.45,0.11,11.68
Balochistan,Loralai,2008,71.0,49.13,43.43,13.77,55.13,74.48,31.83,28.6,68.27,7.15,0.44,93.03,3.2,3.78,2.75,5.74,2.42,2.63,21.71,36.41,53.09,7.22,39.7,31.39,15.58,34.85,18.18,12.04,58.89,20.29,42.84,26.93,43.79,0.19,0.14,0.25,0.5,0.37,13.87
Balochistan,Loralai,2010,60.0,49.72,17.76,15.77,52.05,76.55,35.72,6.61,50.11,6.86,0.46,86.91,3.22,6.53,11.56,9.46,2.59,3.85,58.37,45.35,41.41,18.97,39.62,45.49,15.21,22.12,17.18,21.09,24.02,9.51,36.24,16.98,28.55,0.3,0.14,0.21,0.27,0.09,15.01
Balochistan,Loralai,2012,28.0,52.18,14.15,5.33,47.97,89.53,91.41,17.68,27.42,5.67,0.33,91.48,2.52,3.53,17.2,17.1,6.9,3.08,33.13,47.3,40.59,15.36,44.06,43.04,18.41,17.39,21.16,17.39,47.86,18.92,44.52,31.03,44.98,0.23,0.2,0.34,0.67,0.53,18.17
Balochistan,Loralai,2014,51.0,55.71,9.78,15.19,46.6,71.09,96.01,35.09,80.71,6.02,0.44,94.11,2.92,3.44,21.36,19.33,14.61,3.15,39.42,48.74,58.1,10.21,31.69,34.02,6.54,34.64,24.6,19.1,69.0,28.72,59.71,28.77,65.29,0.67,0.16,0.75,0.47,0.45,17.96
Balochistan,Mastung,2004,53.0,61.66,49.37,8.32,13.27,82.44,0.0,41.06,77.01,6.89,0.45,92.91,1.43,5.66,13.15,11.54,9.04,2.8,28.53,45.25,37.69,10.18,52.14,46.29,14.95,18.27,20.48,20.64,53.73,22.13,51.54,30.89,47.04,0.53,0.19,0.72,0.78,0.46,16.39
Balochistan,Mastung,2006,69.0,48.13,41.36,13.91,60.49,96.08,27.91,32.77,37.37,6.2,0.41,95.03,0.3,4.67,13.75,12.44,12.13,2.79,34.53,48.28,40.0,10.95,49.04,50.89,9.61,25.92,13.58,18.44,72.05,27.94,70.51,31.63,68.12,0.6,0.18,0.66,0.85,0.52,19.91
Balochistan,Mastung,2008,82.0,31.02,24.41,1.84,5.47,97.07,38.28,13.93,42.99,7.17,0.49,95.86,0.2,3.94,7.51,11.92,6.9,4.19,69.57,57.28,56.65,16.65,26.7,37.13,6.7,20.03,36.14,50.41,48.28,12.59,42.65,28.96,38.84,0.21,0.1,0.41,0.59,0.6,13.01
Balochistan,Mastung,2010,37.0,39.04,36.68,9.85,1.55,83.5,73.21,38.6,93.88,6.1,0.4,94.62,0.63,1.48,10.78,21.98,7.77,2.99,30.53,52.67,51.47,12.9,35.63,40.64,10.85,15.86,32.66,18.82,81.88,35.29,79.58,46.74,77.96,0.65,0.44,0.77,0.81,0.55,21.96
Balochistan,Mastung,2012,44.0,92.19,34.94,4.95,2.8,99.75,86.74,64.02,100.0,7.67,0.48,98.41,0.8,1.06,35.22,26.1,23.62,3.36,39.58,61.37,46.83,22.68,30.49,31.08,20.51,16.73,31.67,47.2,83.64,44.77,57.63,31.77,57.96,0.46,0.24,0.53,0.74,0.59,22.04
Balochistan,Mastung,2014,50.0,89.13,33.33,3.04,1.27,79.37,91.4,40.22,85.88,7.26,0.45,94.94,1.49,1.49,32.15,27.94,26.46,3.6,53.58,72.01,40.26,34.34,25.4,29.45,31.98,11.62,26.96,39.63,80.26,57.94,71.22,43.1,82.5,0.7,0.29,0.83,0.85,0.51,21.03
Balochistan,Musakhel,2004,67.0,22.84,14.6,5.84,56.81,6.69,0.14,9.56,28.97,6.46,0.45,96.62,0.7,2.68,2.27,60.1,1.08,2.5,14.97,52.45,64.7,9.48,25.82,26.97,5.44,48.83,18.76,59.13,37.63,15.9,50.4,18.19,52.75,0.19,0.11,0.3,0.19,0.3,0.0
Balochistan,Musakhel,2006,83.0,9.05,5.8,0.37,57.37,68.36,4.47,0.21,35.44,6.71,0.48,98.2,0.26,1.54,4.54,14.07,0.42,2.62,26.15,48.73,61.53,11.05,27.42,28.78,10.56,35.92,24.74,26.18,40.03,4.71,28.63,13.65,27.58,0.12,0.09,0.05,0.28,0.1,0.0
Balochistan,Musakhel,2008,85.0,0.72,0.72,5.45,84.02,46.93,13.45,0.0,0.38,6.55,0.49,97.01,0.0,2.99,6.51,25.66,4.56,3.75,56.77,48.12,58.02,11.19,30.79,36.23,6.45,31.2,26.12,36.61,28.68,6.77,28.95,16.62,22.37,0.25,0.12,0.26,0.33,0.0,0.0
Balochistan,Musakhel,2010,66.0,0.98,0.12,1.14,31.38,71.63,37.07,6.6,34.77,7.68,0.5,96.39,1.12,1.3,0.27,21.81,0.0,3.78,62.88,48.82,57.87,14.02,28.11,37.37,14.71,20.43,27.5,33.4,19.17,9.49,32.79,12.89,27.13,0.25,0.15,0.23,0.22,0.11,0.0
Balochistan,Musakhel,2012,37.0,1.46,0.0,20.99,36.44,79.12,85.57,6.51,13.79,5.69,0.28,94.23,0.28,0.28,5.32,41.03,5.32,3.2,38.35,50.58,53.92,14.65,31.43,37.63,14.23,22.05,26.09,18.33,33.84,9.28,28.56,21.85,27.89,0.16,0.08,0.13,0.51,0.7,6.09
Balochistan,Musakhel,2014,53.0,43.34,16.84,23.82,28.11,62.97,96.0,42.16,78.92,6.08,0.46,95.17,4.83,4.83,7.16,22.88,6.76,3.01,34.67,50.62,49.57,17.21,33.23,41.95,8.98,25.37,23.7,18.42,56.56,18.47,61.7,24.31,66.07,0.76,0.27,0.65,0.81,0.39,22.54
Balochistan,Nasirabad,2004,62.0,47.35,22.33,4.61,50.6,62.94,0.45,30.01,37.04,7.19,0.45,88.1,2.09,9.82,9.05,8.78,7.41,3.73,56.32,66.78,81.94,2.03,16.03,12.15,4.62,26.91,56.32,62.2,25.32,10.5,28.24,18.84,22.41,0.14,0.06,0.2,0.46,0.42,9.75
Balochistan,Nasirabad,2006,77.0,42.55,6.98,1.41,21.41,47.94,15.62,1.73,19.26,6.65,0.49,68.76,1.16,30.08,12.26,10.73,6.95,4.38,74.67,80.12,87.54,1.42,11.04,9.08,3.2,30.49,57.22,73.87,27.11,14.19,29.92,18.41,34.63,0.21,0.04,0.33,0.39,0.32,7.34
Balochistan,Nasirabad,2008,82.0,44.5,21.58,3.55,14.97,76.95,63.59,4.16,37.95,7.08,0.46,71.15,1.56,27.28,7.25,20.48,7.25,4.12,62.77,65.33,76.0,6.23,17.77,14.11,6.65,29.73,49.5,64.65,48.43,13.86,34.42,19.28,36.0,0.09,0.06,0.22,0.53,0.07,13.76
Balochistan,Nasirabad,2010,66.0,65.22,17.82,2.88,6.7,83.83,77.4,20.55,55.14,7.19,0.51,79.77,1.08,1.08,3.69,8.12,1.52,4.64,75.84,53.02,72.49,10.15,17.36,22.04,6.32,34.71,36.93,46.12,41.41,19.45,36.96,16.79,35.58,0.1,0.05,0.15,0.29,0.13,12.24
Balochistan,Nasirabad,2012,61.0,45.8,14.07,22.59,9.92,83.49,83.47,2.06,39.51,6.67,0.52,82.54,1.41,1.73,21.5,24.96,17.22,4.43,67.92,56.02,77.9,3.89,18.21,13.4,8.48,40.33,37.79,43.42,38.68,17.83,31.73,13.47,28.21,0.35,0.08,0.43,0.52,0.34,14.07
Balochistan,Nasirabad,2014,61.0,54.62,23.08,5.76,2.13,84.21,95.96,23.55,71.08,6.82,0.52,80.68,3.34,4.46,25.59,30.95,21.73,4.09,56.06,69.14,73.94,8.76,17.3,17.46,7.42,29.5,45.26,51.83,39.31,16.68,43.98,19.51,40.89,0.32,0.09,0.31,0.39,0.66,27.28
Balochistan,Nushki,2004,74.0,57.13,49.14,3.65,4.3,34.42,0.21,29.25,56.11,7.62,0.44,96.76,2.49,0.75,2.39,3.66,1.7,3.27,37.97,41.3,21.47,7.52,71.01,68.29,9.53,10.71,11.47,19.01,33.51,9.66,42.96,20.24,29.55,0.42,0.19,0.63,0.82,0.36,14.28
Balochistan,Nushki,2006,82.0,35.8,34.56,3.7,57.59,26.1,0.77,45.19,81.18,7.13,0.44,97.84,0.9,1.26,4.61,4.6,3.27,3.25,40.97,40.57,28.57,20.71,50.73,63.14,9.46,16.48,10.92,19.63,49.04,16.24,50.29,21.17,43.46,0.4,0.06,0.59,0.76,0.88,9.86
Balochistan,Nushki,2008,74.0,78.74,63.59,14.05,1.43,68.85,24.62,46.82,85.62,6.78,0.44,89.05,8.47,2.48,30.92,22.39,16.5,3.0,37.29,43.76,25.16,13.08,61.75,51.31,20.92,16.67,11.1,27.2,55.95,30.96,62.06,23.68,62.23,0.66,0.15,0.86,0.93,0.49,28.47
Balochistan,Nushki,2010,53.0,30.19,29.8,15.84,47.37,61.48,46.23,26.78,53.32,7.27,0.48,98.69,0.65,1.31,11.19,27.08,7.54,3.76,54.67,47.04,47.82,12.97,39.21,42.61,7.96,22.28,27.15,26.68,43.39,21.68,52.53,26.76,49.46,0.27,0.11,0.41,0.57,0.61,20.62
Balochistan,Nushki,2012,48.0,96.94,65.37,40.61,29.34,90.22,78.04,54.97,99.91,7.2,0.45,99.74,0.26,0.26,9.91,36.62,7.82,3.2,39.48,42.79,29.42,16.45,54.13,50.21,14.82,10.52,24.44,16.34,53.09,19.67,73.9,30.09,79.59,0.68,0.14,0.82,0.8,0.66,26.38
Balochistan,Nushki,2014,47.0,95.49,42.56,14.02,8.57,88.32,92.15,27.84,37.51,6.84,0.47,90.5,1.25,1.82,22.94,46.25,16.38,2.83,29.03,45.14,49.58,14.08,36.34,36.09,15.83,25.55,22.17,16.77,55.66,33.43,55.17,30.07,50.36,0.28,0.13,0.43,0.86,0.85,19.66
Balochistan,Panjgur,2004,58.0,39.45,8.72,6.04,27.62,26.21,1.41,3.96,22.84,5.66,0.38,99.22,0.0,0.78,7.69,9.99,4.1,3.03,34.03,42.73,26.91,11.5,61.59,59.77,11.49,16.29,12.45,14.73,23.18,20.44,37.06,19.19,42.74,0.52,0.27,0.63,0.6,0.76,4.61
Balochistan,Panjgur,2006,72.0,18.52,15.86,4.43,1.5,22.14,8.03,40.19,41.94,6.29,0.49,97.02,0.93,2.04,5.53,2.83,2.5,3.88,67.69,47.27,30.16,28.28,41.56,57.44,10.93,16.69,14.93,32.15,57.45,26.43,52.44,30.09,54.56,0.26,0.15,0.2,0.64,0.39,4.66
Balochistan,Panjgur,2008,72.0,40.37,35.23,5.76,6.72,58.29,32.74,33.94,70.17,5.5,0.43,97.93,1.34,0.72,10.43,28.69,8.09,3.31,37.19,44.58,10.58,25.64,63.78,60.16,23.99,4.32,11.54,15.77,64.47,25.04,55.18,38.84,60.78,0.41,0.2,0.47,0.66,0.29,8.73
Balochistan,Panjgur,2010,60.0,27.17,14.12,11.66,2.44,54.69,38.51,8.28,24.46,6.08,0.59,99.68,0.32,0.32,6.09,25.06,3.09,4.02,59.29,61.34,32.87,27.63,39.5,24.66,32.51,17.99,24.84,64.93,65.38,24.55,58.59,22.61,70.77,0.1,0.05,0.46,0.48,0.21,6.82
Balochistan,Pishin,2004,71.0,56.98,55.0,6.12,1.6,83.5,1.93,32.67,59.35,10.05,0.46,95.62,2.08,2.3,5.61,3.46,1.53,3.25,41.62,37.18,32.45,5.62,61.93,52.08,13.34,21.56,13.01,11.26,49.12,14.21,67.8,43.04,46.32,0.57,0.37,0.52,0.58,0.95,4.25
Balochistan,Pishin,2006,81.0,86.56,83.3,3.21,3.8,93.12,35.39,20.64,59.56,9.17,0.43,95.71,1.22,3.07,8.07,6.88,5.66,2.69,28.21,39.87,19.3,13.33,67.37,54.37,28.69,13.4,3.54,13.86,50.96,10.48,52.68,28.99,48.27,0.42,0.14,0.5,0.75,0.77,9.44
Balochistan,Pishin,2008,55.0,65.37,64.62,23.68,4.19,87.11,53.21,2.42,80.8,9.4,0.39,94.14,1.16,4.7,10.42,6.85,6.15,2.76,27.72,41.47,29.64,6.87,63.49,50.49,22.69,12.39,14.43,15.51,58.69,24.49,65.18,39.95,57.03,0.55,0.14,0.81,0.94,0.85,5.1
Balochistan,Pishin,2010,23.0,86.48,86.34,51.14,3.12,96.09,95.22,17.85,85.17,4.89,0.31,95.22,3.16,3.62,16.09,10.37,6.05,2.01,7.11,54.49,24.66,10.75,64.59,46.18,24.76,20.63,8.42,8.57,68.54,34.18,48.29,35.95,69.49,0.16,0.06,0.2,0.37,0.68,8.42
Balochistan,Pishin,2012,43.0,90.92,83.33,23.38,7.75,94.89,74.04,22.5,79.14,8.24,0.44,95.27,1.48,1.79,14.72,10.48,7.66,3.03,41.54,42.53,16.85,14.81,68.33,70.16,15.04,8.35,6.45,26.63,55.15,22.64,68.27,38.29,60.97,0.59,0.13,0.82,0.75,0.6,5.23
Balochistan,Pishin,2014,54.0,84.7,68.48,21.77,5.22,94.07,95.33,5.36,66.34,8.87,0.47,97.46,1.2,1.2,19.24,12.43,10.25,3.25,38.07,44.48,25.39,17.14,57.46,55.2,18.64,13.23,12.74,24.12,41.98,21.07,61.01,34.02,53.05,0.52,0.08,0.6,0.49,0.46,8.12
Balochistan,Quetta,2004,46.0,85.44,80.53,32.67,0.56,95.76,12.38,57.94,86.16,7.5,0.42,80.62,15.62,3.76,56.98,59.69,50.1,3.06,37.18,39.71,4.08,8.89,87.02,55.2,27.59,1.73,15.48,12.19,56.47,35.33,74.95,52.1,70.65,0.65,0.38,0.68,0.88,0.99,61.85
Balochistan,Quetta,2006,53.0,88.47,85.41,28.97,0.91,97.47,75.65,60.06,90.69,7.6,0.39,75.53,21.42,3.05,64.63,61.35,58.78,2.92,30.51,40.79,4.6,11.69,83.71,49.81,33.77,1.49,14.92,12.18,62.06,33.76,73.03,50.15,66.41,0.69,0.41,0.77,0.77,0.94,69.47
Balochistan,Quetta,2008,55.0,76.94,74.7,21.22,2.26,97.1,88.87,54.6,93.63,8.69,0.39,78.75,15.1,6.15,56.37,62.93,50.76,3.01,36.32,39.32,4.59,11.87,83.55,55.1,28.95,1.91,14.04,14.05,62.61,31.66,77.3,52.36,68.59,0.77,0.47,0.84,0.83,0.91,74.32
Balochistan,Quetta,2010,21.0,95.1,93.73,63.99,2.28,97.46,92.71,65.51,88.86,6.3,0.38,74.04,19.95,24.55,56.4,75.96,51.53,2.41,13.54,46.36,5.65,14.69,79.66,57.0,30.74,2.96,9.3,8.79,76.67,44.06,73.69,53.52,74.89,0.59,0.31,0.68,0.73,0.77,78.74
Balochistan,Quetta,2012,22.0,85.08,81.01,18.0,1.85,99.73,97.38,63.73,91.97,7.3,0.4,71.92,21.97,27.12,73.39,76.14,62.92,2.81,32.61,40.57,4.03,21.55,74.41,65.65,25.68,0.88,7.79,9.45,77.13,46.29,79.92,57.33,75.81,0.69,0.47,0.76,0.86,0.86,78.7
