年度,科目,題號,題目
104,自然,34,34.圖(二十)為小毅某次考卷的部分內容：3圖(二十)此題小毅答錯，老師要他回去訂正，則他只需修改第一行算式中的哪一個數值，就能獲得正確答案？(A)將100改為126(B)將0.58改為1.26(C)將30改為25(D)將30改為55
104,自然,35,35.老師在上「元素與化合物」的課程時，要求學生分組討論後，在小卡上分別寫出元素和化合物各一個例子，下列哪一組的舉例最符合老師的要求？(A)(B)(C)(D)
104,自然,36,36.若將主要影響臺灣5、6月天氣的鋒面稱為鋒面甲，影響11、12月天氣的鋒面稱為鋒面乙，則下列對於上述鋒面的敘述，何者正確？(A)鋒面甲會造成過境地區降雨，鋒面乙則幾乎不會降雨(B)鋒面乙的移動速度較鋒面甲慢，常在臺灣附近徘徊或停滯不動(C)鋒面甲、乙其實是同一種鋒面，因此過境地區的氣溫都會大幅降低(D)鋒面甲、乙都是氣團的交界處，只因氣團的強弱不同而形成不同鋒面
104,自然,37,37.表(四)為海中四種動物的代號、名稱及特徵，若要以脊椎骨的有無作為分類依據，則下列哪一分類結果最合理？表(四)(A)一組為甲、乙；另一組為丙、丁(B)一組為甲、丁；另一組為乙、丙(C)一組為乙；另一組為甲、丙、丁(D)一組為丙；另一組為甲、乙、丁
104,自然,38,38.圖(二十一)為人體進行呼吸運動時，橫膈位置變動的示意圖。利用藍色氯化亞鈷試紙可檢測人體呼出氣體中的某物質。有關呼氣時橫膈位置的變化及可使試紙變色的物質，下列何者正確？(A)甲→乙，水(B)甲→乙，二氧化碳(C)乙→甲，水(D)乙→甲，二氧化碳
104,自然,39,39.桌面上由左至右擺放著紅色、白色、綠色三張相鄰的圖卡，左端放置一平面鏡與桌面垂直，圖卡間相鄰位置與平面鏡上P點的角度關係，如圖(二十二)所示。今將藍色光線以入射角X度入射在平面鏡P點，看見光線反射後落在圖卡上形成藍色光點，依上述條件推論，下列何者最可能為X的數值？(A)35(B)40圖(二十二)(C)50(D)75
104,自然,40,40.已知二氧化碳、葡萄糖的分子量分別為44、180。葡萄糖在無氧密閉環境中經由酵母菌發酵的反應式為：酵母菌CHO2CHOH+2CO6126252現有3×1024個葡萄糖分子，經由酵母菌發酵後，最多約可產生CHOH多少公克？25(A)220(B)230(C)440(D)460
104,自然,41,41.唾液中的甲物質可催化澱粉的分解，胃液中的乙物質則可催化蛋白質的分解，若推測甲、乙兩物質本身的主要成分，下列敘述何者最合理？(A)甲、乙成分皆為澱粉(B)甲、乙成分皆為蛋白質(C)甲成分為澱粉，乙成分為蛋白質(D)甲成分為葡萄糖，乙成分為胺基酸
104,自然,42,42.老師請阿民和阿仁各設計一個電路，此電路需同時達到下列三個要求：1、包含三個電阻器和一個電池。2、流過三個電阻器的電流大小相同。3、三個電阻器的電功率相同。阿民和阿仁設計的電路圖如圖(二十三)所示，若忽略導線電阻和電池內電阻，則關於兩人的設計圖是否符合老師的三個要求，下列何者正確？(A)只有阿民符合(B)只有阿仁符合(C)阿民和阿仁都符合(D)阿民和阿仁都不符合
104,自然,43,43.圖(二十四)為自然界中氮循環部分途徑的示意圖，其中甲、乙為能進行氮的轉變反應之生物。依此圖推斷甲、乙所屬的生物類別，下列何者最合理？(A)甲屬於植物，乙屬於動物(B)甲屬於動物，乙屬於植物(C)甲屬於微生物，乙屬於動物(D)甲屬於微生物，乙屬於微生物
104,自然,44,44.一個實驗裝置如圖(二十五)所示，在兩個彈簧秤下方分別吊掛重物甲、乙，再將重物浸入純水中，待重物靜止後，兩個彈簧秤的讀數皆為100gw。已知甲、乙的質量分別為200g、300g，若甲、乙的密度分別為D、D，則D：D最接近下列何者？(兩彈簧秤均甲乙甲乙可測量至500gw)(A)1：1(B)1：2(C)2：3(D)4：3圖(二十五)
104,自然,45,45.某次出遊時，小明朝自己頭頂附近的天空拍攝得到甲照片，在30天內的某日舊地重遊，於同一地點朝自己頭頂附近的天空拍攝得到乙照片，兩張照片如圖(二十六)所示，其中白色部分是當時小明看到的月相。圖(二十七)是月球、地球與太陽光相對關係示意圖，黑點代表地球北極，參考圖(二十七)並根據月相與拍攝方位判斷，下列有關兩照片拍攝時間間隔的推論，何者較合理？(cid:26)(cid:25)(cid:31)(cid:29)(cid:24)(cid:23)(cid:22)(cid:21)(cid:31)(cid:29)(cid:31)(cid:28)(cid:27)(cid:26)(cid:25)(cid:30)(cid:30)(cid:30)(cid:30)(cid:30)(cid:29)(cid:28)(cid:27)(cid:24)(cid:23)圖(二十六)圖(二十七)(A)相隔約7天(B)相隔約14天(C)相隔約21天(D)相隔約30天
104,自然,46,46.圖(二十八)為小怡在20℃時進行實驗的步驟示意圖：圖(二十八)若溶解醋酸鈉(CHCOONa)的過程中，溶液溫度均維持20℃，根據實驗結果可3知，在20℃時飽和的醋酸鈉水溶液，其重量百分濃度會在下列哪一個範圍內？(A)23.0%～37.5%(B)37.5%～47.5%(C)47.5%～60.0%(D)60.0%～90.0%
104,自然,47,47.根據本文，關於茭白筍的敘述，下列何者最合理？(A)茭白筍內增生的細胞是由減數分裂而來(B)菰黑穗菌使菰草的生殖器官膨大成茭白筍(C)農民繁殖的茭白筍植株之基因和親代完全相同(D)農民繁殖茭白筍植株的方式可增加植株對環境變化的適應力
104,自然,48,48.茭白筍內出現的黑點如圖(二十九)所示。根據本文，黑點可能是由下列何者所組成？(A)種子(B)孢子(C)花粉(D)卵細胞
104,自然,49,49.根據圖中判斷，從正常狀態到形成「無水氨」，最可能經過下列何種過程？(A)吸熱的化學變化(B)吸熱的物理變化(C)放熱的化學變化(D)放熱的物理變化
104,自然,50,50.根據文中所述，「無水氨」和硝酸根離子進行反應時的反應類型，依序為下列何者？(A)氧化反應；還原反應(B)氧化反應；氧化反應(C)還原反應；還原反應(D)還原反應；氧化反應
104,自然,51,51.下列四者是筱喬根據她的紀錄，提出關於甲點岩層的說明或推論，則四者中何者最不合理？(A)深色的頁岩應該是沉積岩的一種(B)該頁岩形成時的環境應為陸地環境(C)貝類與珊瑚可能曾同時生活在同一地點(D)從貝類生存年代可推測頁岩的年代範圍
104,自然,52,52.根據老師的結論，若筱喬在甲點進行檢測實驗時，收集產生的氣泡並通入蒸餾水中，則形成溶液的過程，[H+]和pH值分別會有何種變化？(A)兩者都變大(B)兩者都變小(C)[H+]變小；pH值變大(D)[H+]變大；pH值變小
104,自然,53,53.地質考察結束後，筱喬想將乙點的岩層剖面示意圖繪製完整，根據紀錄內容判斷，筱喬完成的圖最可能是下列何者？(A)(B)(C)(D)
104,自然,54,54.若下列選項中，有一項為筱喬進行野外觀察時，起點至終點間的路徑長(d)與時間(t)關係圖，其中各時間點的路徑長均對應起點，考慮筱喬行進時速率的合理性及此圖的正確性，假設筱喬在各點停留觀察時均站立不動，則此圖最可能為下列何者？(A)(B)(C)(D)
105,國文,1,1.「考期將至，望著桌上堆積如山的書本，我的心在瞬間彷彿變成了鉛塊。當下只有悔恨，悔恨自己未能善加運用時間。」作者在句中以「鉛塊」來比喻他當下的哪一種心情？(A)煩躁(B)堅定(C)麻木(D)沉重
105,國文,2,2.「荷馬史詩是永遠的傑作，但不能永遠以它為範本。」這句話的意旨與下列何者最接近？(A)敏銳的鑑賞力是創作優良作品的前提(B)創作必須求新求進，不能一味地模仿(C)再偉大的作品，價值也會隨時間而減損(D)作家過度被崇拜時，往往難以自我超越
105,國文,4,4.「我們不是讓自己活得悲慘，就是讓自己活得堅強。兩者所花的力量是一樣的。」「命運與機會無關，而是與選擇有關。它不是等著發生的東西，而是等著努力達成的東西。」這兩句話共同傳達出的涵義，與下列何者最接近？(A)人生方向可由自己掌握(B)以堅強的態度接受失敗(C)快樂與痛苦是一體兩面(D)機會是可遇而不可求的
105,國文,5,5.下列選項「」中的文字，何組讀音相同？(A)為減輕生產痛苦，有些產婦選擇無痛分「娩」／救援投手獨撐全局，力「挽」狂瀾(B)你別「呶」呶不休，讓我耳根不得清淨／雙方意見不合，僵持不下，劍拔「弩」張(C)坊間「贗」品幾可亂真，小心上當／我們要服「膺」師長的教導，切不可一意孤行(D)瞧他「躊」躇滿志的模樣，真令人反感／開放農產品進口，是我方的談判「籌」碼
105,國文,6,6.「我的作文功力和明華差不多，可以說是□□□□；思恩的表現更好，我只能勉強□□□□；而蔚然是作文的常勝軍，和她比的話我就□□□□了！」這段文字的空格處，依序應填上哪一組成語？(A)不分軒輊／望塵莫及／望其項背(B)不分軒輊／望其項背／望塵莫及(C)望其項背／望塵莫及／不分軒輊(D)望其項背／不分軒輊／望塵莫及
105,國文,7,7.下列四句話的文字與標點符號稍有差異，何者含意與其他三者相差最遠？(A)哆啦A夢說他要帶大雄去暢遊未來世界。(B)哆啦A夢說：「他要帶大雄去暢遊未來世界。」(C)哆啦A夢說：「我要帶大雄去暢遊未來世界。」(D)哆啦A夢告訴大雄：「我要帶你去暢遊未來世界。」
105,國文,8,8.「什麼東西都有它宿命注定的物主。想想在過去三千年中，此等周代鼎彝曾1經有過幾百個物主？沒有一個人在這個世界裡能永久享有一樣東西。眼前，我是它們的物主。再經過一百年，誰將是它們的物主呢？」這段文字的涵義，與下列何者最接近？(A)天生萬物，人治萬物(B)時移事易，物難久持1.鼎彝：古代宗廟中的祭器。彝，音ㄧˊ(C)君子當使物，不為物所使(D)物各有所宜，用各有所施
105,國文,9,9.「會意」為合併兩個或兩個以上獨體的「文」，將它們的意思會聚起來，用以表現出新字含義的造字法則，如「森」字，由三個「木」構成，表示樹木繁多。據此判斷，下列何者也是「會意」字？(A)鰻(B)甘(C)休(D)鳥
105,國文,10,10.「君子如抱美玉而深藏不市，小人則以石為玉而又炫之。」根據這句話，君子不同於小人的特質是下列何者？(A)臨財不苟(B)真實坦率(C)見多識廣(D)沉潛含蓄
105,國文,11,11.下列文句，何者語詞使用最恰當？(A)這是我自己的人生，任憑誰能決定我的未來(B)個性耿直的他，從小釐清志向要當一名檢察官(C)這件事還是有轉圜的餘地，你何必這麼悲觀呢(D)身為部會首長，他前往國會答覆民意代表的諮商
105,國文,12,12.「春天多細雨無聲，不走在雨中，不會有聽覺上的干擾。夏天的雨多如放聲嚎啕，傾盆而下，痛快淋漓，來得快，收得也快，不像冬天雨聲無休無止的纏繞。冬雨是可憐哀怨又於事無補的嘮叨，瑣碎卻不能有任何現況改善，最是煩人。」根據這段文字，下列敘述何者最恰當？(A)春雨又細又輕，夏雨既急且驟(B)冬雨滂沱，聲量最響，最為惱人(C)夏天雨聲淒切，令人不由得加快行走的步伐(D)走在冬雨中，常會聽到人們哀怨瑣碎的嘮叨
105,國文,13,13.「當許多人把『氣候變遷』這幾個字，當成議題在世界上討論的時候，它其實已經成為再悲傷不過的語言了。」這句話的涵義，與下列何者最接近？(A)「氣候變遷」被廣泛討論，代表它已造成威脅(B)各國面對「氣候變遷」的議題時，應負起責任(C)眾人已由空談「氣候變遷」轉為積極研擬對策(D)討論「氣候變遷」這個議題，會使人變得悲觀
105,國文,14,14.下列文句「」中的詞語，何者使用最恰當？(A)他發揮「全盤托出」的力量，盡力完成這項創舉(B)今天聚會，敬呈拙作一本，請各位不吝「貽笑大方」(C)孟母重視教育，帶著孟子「移樽就教」，搬到學校旁邊(D)即使她非科班出身，但因表現優異，舞團決定「破格錄用」
105,國文,15,15.「人之一生，希望留名，實屬常情，但應以其道得之。出名容易成名難，因為出名只要敢拿出你最壞的一面就行，成名則要拿出最好的一面。」這段話的主旨，與下列何者最接近？(A)希望留名，乃人之常情(B)應以正當的方式追求名聲(C)能否出名，端看個人的努力(D)大眾常忽視留名者背後的付出
105,國文,16,16.下列文句，何者沒有冗言贅字？(A)這餐館的鮮肉水餃皮薄餡多，難怪不得店裡座無虛席(B)父親是那種善於隱掩藏情感的人，哀喜往往不形於色(C)小孩高聲朗讀童話故事，稚嫩的童音吸引所有人的注意(D)謊言是化過妝扮的魔鬼，讓人在無意間就掉進它的陷阱
105,國文,18,18.下列文句，何者沒有語病？(A)朦朧中，遠方田埂上老農夫的皺紋，清晰地映入眼簾(B)昔日的騰達是今日的潦倒所致，能這麼想心中自然寬解(C)她們並肩坐在窗前，經過徹底的通宵長談，天色已然入暮(D)老是心存顧忌而不敢拒絕他人，將為自己帶來無謂的困擾
105,國文,19,19.「北風吹，吹我庭前柏樹枝。樹堅不怕風吹動，節操稜稜還自持。冰霜歷盡心不1移，況復陽和景漸宜。閒花野草尚葳蕤，風吹柏枝將何為？北風吹，能幾時！」2詩中事物所象徵的意涵，下列說明何者最恰當？(A)北風――心中的疑慮(B)柏樹――國家的運勢1.稜稜：威嚴耿直(C)冰霜――隱逸的心志2.葳蕤：音ㄨㄟㄖㄨㄟˊ，草木茂盛的樣子(D)陽和――轉好的境況
105,國文,20,20.「曹雪芹的曾祖母孫氏擔任康熙保母，孫氏之夫曹璽於康熙二年被委任為江寧織造，此乃清廷財政重要職務，本規定三年更換一次，曹璽竟任職二十二年。又因曹璽之子曹寅自小即為康熙伴讀，成為康熙心腹，所以曹氏家族世襲江寧織造，共達五十八年。康熙六下江南，五度入住織造府。直到雍正即位，以曹家虧空公款為由，前後兩次抄家，終於令曹家敗落下來。」根據本文，下列何者在文中不曾被提及？(A)曹家得勢的緣由(B)曹寅的身世與崛起(C)兩任皇帝對曹家的態度(D)曹雪芹世襲官職的經歷
105,國文,21,21.「我常常看到，一個詩人在享盡一片田莊最有價值的部分後離去，而那農夫還以為他只不過吃了幾個野蘋果而已。________，用那不可見而又最優美的籬笆把田莊圍了起來。」根據文意，畫線處填入下列何者最恰當？(A)那詩人早已把田莊寫成了詩(B)於是農人決心護衛他的所有(C)禁果濃郁的香味瀰漫空氣中(D)詩人黯然離開重新打造莊園
105,國文,22,22.朱熹云：「程子曰：『《大學》，孔氏之遺書，而初學入德之門也。』於今可見古人為學次第者，獨賴此篇之存，而《論》、《孟》次之。學者必由是而學焉，則庶乎其不差矣。」根據這段文字，下列何者最接近朱熹的看法？(A)《大學》的成書年代早於《論》、《孟》(B)《大學》的內容遠較《論》、《孟》來得深奧(C)儒家《論》、《孟》的思想，是以《大學》為本衍生而出(D)欲知古人為學修德的次第，首推《大學》，其次《論》、《孟》
105,國文,23,23.路遙寫歷史作業，把李白「申包哭秦庭，泣血將安仰」詩句中的「申」字誤抄為字形相近的「由」字。下列文句中的錯別字，何者也屬於「形近而誤」的情況？(A)香遠易清，亭亭淨植(B)萬里赴戒機，關山度若飛(C)忽有龐然大物，拔山搗樹而來(D)孔明乃披鶴氅，戴官巾，焚香彈琴
105,國文,24,24.「士有諍友，則身不離於令名；父有諍子，則身不陷於不義。」句中「令」字的意義，與下列哪一個「令」字相同？(A)賞罰可用，則禁「令」可立，而治道具矣(B)孔明傳「令」：諸軍各守城鋪，如有妄行出入，立斬(C)先生神情機警，詞藻遒逸，少有「令」望，為當世所推(D)此人親驚吾馬，吾馬賴柔和，「令」他馬，固不敗傷我乎
105,國文,25,25.下列文句「」中的詞語，何者沒有自謙的含意？(A)在此「拋磚」引玉，希望大家多多指教(B)多虧您「青眼」有加，我才能升任經理(C)承蒙諸位「錯愛」，讓在下得以擔此重任(D)千里送「鵝毛」，這份薄禮還請先生笑納
105,國文,26,26.從女性主義文論的觀點來看，武俠小說是「男性沙文主義」的心理滿足。因為小說裡的男俠，幾乎是所有女性的追求對象。此外，心狠手辣的邪魔也不時以尤物姿態出現，遙相呼應傳統的「紅顏禍水」觀。因此，武俠小說是「男權」的文化「幫兇」。也許有人會說，女俠或女魔頭走出了閨房和廚房，是否可視為「女權」的伸張？表面上如此，但實際上，女俠終究要成為男俠的附庸，因此不能被視之為對「男權」的挑戰。這段論述中畫線的文字，何者屬於作者意圖陳述的論點，而非立論的證據？(A)(B)(C)(D)
105,國文,27,27.「思量、能幾許？憂愁風雨，一半相妨。又何須，抵死說短論長。幸對清風皓月，苔茵展、雲幕高張。江南好，千鍾美酒，一曲滿庭芳。」作者在這段文字中展現出的生命態度，與下列何者最接近？(A)生於憂患，死於安樂(B)隱遁出世，成道求仙(C)豁達自適，及時行樂(D)縱論時局，憂以天下
105,國文,28,28.周亮來到「有間酒店」買酒，看到店門口貼有一副對聯。依據對聯的原則，右圖中（乙）聯的位置應是下列哪一句聯語？(A)清樽日月長(B)甕裡乾坤大(C)一醉千愁解(D)開罈香十里
105,國文,29,29.即使每年有一天叫「母親節」，百貨公司專櫃像神職人員奉勸大家要大大的感恩，然而在現代社會，作母親仍是艱辛且寂寞的。榮譽、援助與尊重，少之又少。她們與孩童只有在選舉期間才被油滑的政客想起，等把「神聖的一票」投出去，又被忘了。從坐在巍峨之位者眼中望去，這島上有婦女與孩童嗎？大概……大概……沒有。根據這段文字，下列敘述何者錯誤？(A)政府高官漠視婦女、孩童的權益(B)每個人都需要被提醒，才知道對母親感恩(C)現代社會中的母職角色，缺少制度上的奧援(D)政客在選舉期間大談婦幼政策，是為了騙取選票
105,國文,30,30.「人之學文，其功力所能至者，陳理義必明當，布置取捨、繁簡廉肉不失法，1吐辭雅馴不蕪而已。古今至此者，蓋不數數得。」這段話主要在說明下列何者？2(A)好文章所需具備的條件(B)說理議論文的創作步驟1.廉肉：指文章之疏略與豐腴(C)古今學文者的文章樣貌2.數數：音ㄕㄨㄛˋㄕㄨㄛˋ，常常(D)文體形式的運用與取捨
105,國文,31,31.「夫投膠以變濁，不如澄其源而濁變之愈也；揚湯以止沸，不如絕其薪而沸止1之速也。是以勞心於服遠者，莫若修近而其遠自來；多方以救失者，莫若改行而其失自去。」根據這段文字，下列何者最符合作者的觀點？(A)投膠變濁，勝於澄源(B)揚湯止沸，不如絕薪(C)勞心服遠，近者自來(D)多方救失，其失自去
105,國文,32,32.歐陽脩：「蔡君謨既為余書〈集古錄目序〉刻石，其字尤精勁，為世所珍。今饋以鼠鬚栗尾筆、銅錄筆格、大小龍茶、惠山泉等物為潤筆。」根據這段文字，下列敘述何者正確？(A)蔡君謨文筆已甚精勁，經歐陽脩稍加潤飾，即成世所稱道的佳文(B)蔡君謨為〈集古錄目序〉書刻石，歐陽脩贈予許多物品以為酬謝(C)為作〈集古錄目序〉，歐陽脩耗費財物蒐求蔡君謨珍奇稀有的刻石(D)刻寫〈集古錄目序〉需使用鼠鬚栗尾筆、銅錄筆格，方成上乘之作
105,國文,33,33.揚州鹽商宴請新任鹽官，滿桌清淡菜色，盡是名貴刁鑽的盛饌，甲魚僅用裙邊，鯚花魚只取鰓下兩塊蒜瓣肉，河魨配上素炒蘆蒿，素炒紫芽薑，素炒萵苣尖……，鹽官食畢還淡然說：「咬得菜根，則百事可做。」下列何者最適合用來形容這場宴會？(A)菜根蔬食之味，尤勝珍饈名饌(B)蔬食與清淡，暗藏著豪奢的事實(C)粗茶淡飯，隨遇而安，方見真性情(D)滿席炊金饌玉，填補不了精神的空虛
105,國文,35,35.「呵凍提篙手未蘇，滿船涼月雪模糊。畫家不解漁家苦，好作寒江釣雪圖。」1本詩的主旨與下列何者最接近？(A)對於漁民生活的疾苦，作者寄予關切同情1.手未蘇：雙手尚未活絡(B)漁民雖然生活艱辛，卻大多能夠苦中作樂(C)畫家擅於從藝術角度來捕捉漁民的閒情逸趣(D)畫家透過寫實的筆法來呈現漁民生活的甘苦
105,國文,36,36.根據這段文字，關於詹氏下列行為的動機，何者說明正確？(A)醫院拿藥――以備淑華生產之需(B)幫助淑華――因淑華不會照顧阿彬(C)長年寄居――幫傭身分難以獨力維生(D)淚水難忍――思及育女疏失導致的意外
105,國文,37,37.根據這段文字，素娥的心態最可能是下列何者？(A)想和阿彬爭寵(B)心疼母親一生操勞(C)擔心婆媳的爭執難解(D)企圖糾正母親的教子觀念
105,國文,38,38.根據本文，下列關於京都的敘述，何者正確？(A)西芳寺開放整理青苔的工作，但須事先以明信片預約申請(B)京都佛寺大多保持原木色調，不同於中國唐宋佛寺的風格(C)京都約有兩千間佛寺，其中有十七處佛寺被列為世界文化遺產(D)嵐山一帶的嵯峨野地區不論新舊建設或土地開墾，都需經過核可
105,國文,39,39.根據本文，無法推知下列何者？(A)佛教式微不利於佛寺建築的保存(B)可透過佛寺來瞭解京都傳統文化(C)唐宋佛寺多為紅漆黑瓦的木造建築(D)古蹟要維持風貌須整體環境的配合
105,國文,40,40.根據文意，下列段落排序何者最恰當？(A)乙→甲→丙(B)乙→丙→甲(C)丙→甲→乙(D)丙→乙→甲
105,國文,41,41.根據本文，下列敘述何者正確？(A)燒烤的迷人之處，不僅僅在於美味(B)遠古的燒烤方式較不易導致破壞臭氧層(C)從古至今，燒烤都是人類最喜愛的烹調方式(D)幾經滄海桑田，人們聞到烤肉香的衝動已有改變
105,國文,42,42.作者在本文中運用許多問句表達心中的種種情思。畫線處問句的說明，何者正確？(A)――強調心中的驚愕與失落(B)――呈顯出不捨離去的依戀(C)――暗指自己成長後四海飄泊(D)――擔憂小河被其他河流取代
105,國文,43,43.關於本文的寫作手法，下列敘述何者正確？(A)以豔陽轉為陰雨的天候變化，暗示人生際遇無常(B)先敘眼前景觀，再以議論手法探索環境變異之因(C)細筆描摹童年小河的盛景，與今日的枯竭做對比(D)運用感性的獨白筆法，將所見所思所感娓娓道來
105,國文,44,44.本文末段透露的言外之意，最可能是下列何者？(A)期許這條小河能有復甦和發展的契機(B)痛惜在現實歲月中流失的童年不復回返(C)呼籲村人同心協力，重新打造美麗的家園(D)提醒政府當局重視偏鄉的改革計畫並予以支持
105,國文,45,45.根據本文的內容，下列敘述何者正確？(A)張循王尋回皇上舊物，特意奉還(B)高宗遣鋪家尋找失物，屢尋不獲(C)廚娘之語，可佐證扇墜曾落水中(D)廚娘得到扇墜，售予清河坊鋪家
105,國文,46,46.關於本文的寫作方式，下列敘述何者正確？(A)藉對話凸顯故事中所有人物的個性(B)以諷喻手法，勸告世人當拾金不昧(C)以抽絲剝繭的方式，層層鋪敘情節(D)文末未提故事結局，製造懸疑效果
105,國文,47,47.下列文句（）中所應填入的主語，何者正確？1.筆札：公文書信(A)（）工多而用寡――秦始皇2.篆籀：周、秦間通行之字體。(B)（）乃變篆籀之體為隸書――筆札籀，音ㄓㄡˋ(C)（）三徵入秦――王次仲3.履真懷道：修習道家之學(D)（）落二翮於峰巒――大鳥4.數術：關於天文、曆法、占卜等學問
105,國文,48,48.根據本文內容，下列敘述何者正確？(A)次仲因擅自改革文字觸怒始皇，而遭逮捕(B)始皇過於急功好利，故次仲出走轉而修道(C)次仲將篆籀之體改為隸書，方便世人使用(D)仙鳥中始皇之箭，落羽成大翮、小翮二山
105,英語,1,1.  Look at the picture.  What is the dog doing?(A) Biting the man.(B) Crossing the street.(C) Running after the bus.(D) Sitting on the sidewalk.
105,英語,2,2.  Chris: Which            looks better on me?          Penny: I think purple’s better.  You look great in purple.(A) color  (B) grade  (C) shape  (D) size
105,英語,3,3.  My cat got excited when it saw the boy            the birds.(A) catches  (B) catching  (C)  to catch  (D) caught
105,英語,4,4.  Mr. Jackson is a very            writer; people of all ages enjoy his stories.(A) polite  (B) popular  (C) handsome   (D) honest
105,英語,5,5.  Carol sounded happy when we talked on the phone; I could feel joy in her           . (A) eyes  (B) mail  (C) smile  (D) voice  
105,英語,6,6.  Mark studies very hard and never            classes.  He goes to school even when he is sick.(A) loses   (B) misses  (C) changes  (D) forgets
105,英語,7,7.  Have you got anything for Joe           ?  He’d be happy to get your gift on his birthday.(A) almost  (B) either  (C) soon  (D) yet 
105,英語,8,"8.  Susan bought            bread in the supermarket, but she did not buy anything to drink.(A) many   (B) some   (C) any  (D) one"
105,英語,9,9.  Playing sports at least three times a week            good for your health.   (A) is  (B) are  (C) has  (D) have
105,英語,10,10.  My parents have different hobbies.  One enjoys baking;            enjoys taking pictures.  (A) another  (B) the next  (C) the other  (D) the second
105,英語,11,11.  My mom told me to take care of            in England.  She worried that I couldn’t eat or sleep well there.(A) me  (B) myself  (C) her  (D) herself
105,英語,12,12.  The paint on the wall is not as            as it was ten years ago.  It has changed from white to gray. (A) bright  (B) heavy  (C) sure  (D) young
105,英語,13,"13.  I told you this road went the wrong way, but you just wouldn’t listen.  Now we have to            and take another road. (A) go ahead  (B) move away  (C) pass by  (D) turn back"
105,英語,14,14.	 The	last	five	years	have	not	been	           to Jennie.  Her face is covered with lines and she looks much older than she is. (A) kind  (B) special  (C) real  (D) enough
105,英語,15,"15.  My dog Jimmy loves             with a comb.  Every time I comb his hair, he will close his eyes and fall asleep.  (A) to brush  (B) brushing  (C) to be brushing  (D) being brushed"
105,英語,16,16.  What is the reading for?	 (A)	Finding	out	why	the	old	street	was	on	fire.  (B) Inviting people to do business on the old street.	 (C)	Getting	people	to	find	ways	to	save	the	old	street.	 (D)	Asking	for	help	for	people	who	got	hurt	in	the	fire.
105,英語,17,17.  Which is NOT used in the reading to talk about the old street?   (A) A good friend.    (B) The old Pinky.   (C) A parent.           (D) A living history.
105,英語,18,18.  What is FunGana 2016 for?  (A) Studying sea animals in Gana.  (B) Giving courses in water sports.  (C) Giving weather reports in Gana.   (D) Helping people experience Gana.
105,英語,19,19.  What does the reading say about Piso Island?  (A) It makes the best cars in Gana.   (B) It has nice weather in every season.  (C) It is the most popular island in Gana.   (D) It has the most mud springs in the world. 
105,英語,20,20.  What does adjacent to mean?  (A) Like.  (B) Near.  (C) Bigger than.   (D) Warmer than.
105,英語,21,21.  What do we know from the notice? (A) The summer school is three weeks long. (B) Students can order lunch from the school restaurant.(C) There are basketball classes in the gym every week except the third week. (D) Those who need to borrow dancing shoes must tell Mr. Shum the day before. 
105,英語,22,"22.  Below is what Tina told her friends about the classes in her summer school schedule.Mr. Reed was really crazy to give us so many new words at one time.  Who can possibly remember all of them in a night?  In our art class, when Ms. Grant asked us to draw a picture, I just drew a mad me looking at Mr. Reed.  But then I totally forgot about Mr. Reed after two hours of PE classes in the afternoon.  I was just too tired to think!  Luckily, there was no computer class today to make it a really bad day.        Which day was Tina talking about?  (A) Monday.  (B) Tuesday.   (C) Wednesday.        (D) Thursday."
105,英語,23,23.  Which is most likely true about the speaker in the reading?  likely 可能(A) He thinks a black cat is hiding somewhere in the house. (B) He feels lonely because he is the only child in his family. (C) He is looking for something he left somewhere in the house. (D) He is afraid of being by himself when he feels ghosts around. 
105,英語,24,24.  What can we learn about Lucy in the reading? (A) She keeps opening the door. (B) Her voice makes the speaker feel safe. (C) Her candy was hidden in the kitchen. (D) She was away from home last Halloween. 
105,英語,25,25.  What does IT in picture 7 mean?(A) Rule 22 is easy to follow.(B) Anyone can die at any time.(C) Flying airplanes is dangerous.(D) The soldier has become crazy.
105,英語,26,26.  What can we learn from the comics? (A) The doctor tried several ways to help the soldier. (B) The soldier cared about his life more than his job.  (C) The soldier went to ask the doctor about Rule 22. (D) The use of “catch-22” appeared before Joseph Heller’s book. 
105,英語,27,"27.  From the comics, which is most likely an example of “catch-22”?(A) I need to go to hospital, but there are no hospitals near my house. (B) I need my key to open the door of my house, but I left my key at school. (C) I need some special experience to get this job, but I can’t get this kind of       experience except from this job. (D) I want to go out with Jennifer on New Year’s Day, but I’m not sure whether"
105,英語,28,28.  What does it	in	the	first	line	mean?		(A) The gate of Buzzing World.            (B)	Alec’s	butterfly	photo.(C) Alec’s plan for his date.                   (D) Anything with six legs.
105,英語,29,29.  What does this one mean in the dialogue? (A) What food Wavelength sells.          (B) Why Olivia does not like seafood.(C) What Alec thinks about Wavelength.  (D) What food Olivia does not like to eat.
105,英語,30,30.  What can we learn about Alec?(A) He was told that Olivia likes nice surprises.(B) He decided to cook Olivia a nice seafood dinner.(C)	He	was	happy	that	Olivia	was	finally	his	girlfriend.(D) He gave up the idea of taking Olivia to Buzzing World.
105,英語,31,"31.  Emily is a friend of Olivia’s.  If she agrees with Lori, what would she most likely say to Alec? likely 可能(A) “This is just what Olivia would want!”(B) “You never know what a girl like Olivia would want.”(C) “Make a different plan or have a date with a different girl!”(D) “She never cares what she does on a date; she cares who she has a date with.”"
