年度,科目,題號,題目
110,數學,20,20.如圖(十)，P點在∆ABC外部，且AP、CP分別將∆ABC中∠A的外角、∠C的外角平分。若CP>AP>AC，則關於∆ABC三邊長的大小關係，下列何者正確？A(A)AB>AC>BCP(B)AC>AB>BC(C)BC>AC>ABBC(D)AC>BC>AB
110,數學,21,21.甲、乙兩班學生一起上體育課時分成籃球與排球兩組，每位學生須選擇其中一組32參加。若籃球組總人數為甲班學生人數的倍再多人，排球組總人數為乙班213學生人數的倍再多人，則下列關於甲班、乙班學生人數的敘述，何者正確？43(A)10甲班學生人數是乙班學生人數的2倍再多人3(B)10甲班學生人數是乙班學生人數的2倍再少人2(C)10甲班學生人數是乙班學生人數的3倍再多人2(D)10
110,數學,22,22.()∆ABC∆DBE∆FECDEFAB如圖十一，、、中，點、點、點分別在、BC、AC上，∠A=∠BDE=∠FEC=90°，∠B=∠C=45°。若DE=EF，BC=22CEA，則的長度為何？F(A)22−1D(B)22−2(C)4−2BC(D)4−22E
110,數學,24,24.a12183344a若為一正整數，、、、四個數中恰有三個為的因數，則這四個數a中何者不是的因數？(A)12(B)18(C)33(D)44
110,數學,25,25.()ABCAB=AC<BCA如圖十三，等腰三角形中，，DBCABD且為中點。已知有一圓過、、三點，且EACEAEDEBD與相交於點，關於、、的度數大小，下列敘述何者正確？(A)DE=BD>AEBDC(B)AE=BD>DE()圖十三(C)DE>AE=BD(D)AE>DE=BD
110,數學,26,26.()ABCD∆AEBAEAD如圖十四，正方形與中，的中垂線與BC的中垂線相交於P點。若∠AEB=130°，∠EBA=30°，則∠EPD的度數為何？(A)110EP(B)130BC(C)140()(D)145圖十四
110,社會,1,1.1971年在伊朗拉姆薩簽署的《拉姆薩公約》，其宗旨是透過國家行動和國際合作來保護與合理利用濕地，特別是候鳥遷徙時賴以為生的濕地。臺灣哪一國家公園的主要地理景觀，與該公約的保護對象最相符？(A)玉山國家公園(B)台江國家公園(C)太魯閣國家公園(D)
110,社會,2,2.()圖一為亞洲小爪水獺棲息地的分布圖。近年來因某國電視節目的介紹，進口該種野生水獺當寵物一時蔚為風潮，使得該物種滅絕的危機升高。()根據圖一，下列何地不是上述水獺的棲息地？(A)日本群島(B)中南半島(C)南洋群島(cid:14256)(cid:12077)(cid:9710)(D)印度半島圖(一)
110,社會,3,3.一艘從挪威北方港口出發的貨船，選擇經北極海的新航道，沿俄羅斯的海岸，航向中國青島。此一新航線比起過去經地中海航向亞洲的傳統路線，具有下列何種優勢？(A)省下經巴拿馬運河的通行費用(B)順著盛行西風航行可節省燃料(C)縮短大西洋東岸至東亞的距離(D)
110,社會,4,4.大雄來到澳洲某地旅行，發現當地氣候非常乾燥，(cid:17392)遍布著沙丘或礫石，且幾乎看不到植物生長。他所(cid:7359)()旅行的地方最可能位於圖二中何處？(cid:7383)(A)甲(cid:7447)(B)乙(C)丙(D)丁圖(二)
110,社會,5,5.小坡想說明中國「都市化程度」的變化趨勢，他選用下列哪一張統計圖最恰當？(A)(B)(C)(D)
110,社會,6,6.同學們輪流上臺介紹臺灣各原住民族。玉華上臺時說道：「他們人數較多，主要分布在花蓮、臺東兩地的海岸平原與縱谷平原。為了慶祝豐收，他們每年都會舉辦盛大的豐年祭感謝神靈庇佑，吸引許多人的參與……。」她最可能是介紹下列哪一原住民族？(A)(B)賽夏族阿美族(C)(D)
110,社會,7,7.以下是某人的演講部分內容：「我提出不合作主義，是為了正義和信仰上的緣故，因為這是每一個人與生俱來的權利，也完全符合憲法。……假使我向英國政府說，我拒絕為他們服務，算是違憲嗎？為人父母的，從政府的學校領回孩子，也算是違憲嗎？一個警察或一位軍人，當他知道他是被政府徵召去壓制自己的同胞時，辭職不幹，這也算是違憲嗎？我敢保證，沒有一樣是違憲的。」此人最可能是下列何者？(A)甘地(B)列寧(C)林肯()表一(D)
110,社會,8,8.表(一)介紹中國某一朝代道教受到皇帝支持，蓬勃發展，信仰者眾。宗教信仰的概況，此一朝佛教積極翻譯佛經，並有禪宗等數個宗派。代最可能是下列何者？在長安設有寺院，並有「大秦景教流景教(A)漢朝行中國碑」傳世。(B)唐朝摩尼教此時期傳入，主要信仰者為西域商人。(C)元朝此時期傳入，主要信仰者為居住在廣伊斯蘭教(D)清朝州等地的阿拉伯商人。
110,社會,9,9.十七世紀時，在臺灣的歐洲傳教士，以羅馬字拼寫原住民語的方式傳教，但隨著政權轉變，傳教事業逐漸式微。後來，因為某一「史事」的發生，傳教士獲得官方允許，又開始在臺灣傳教，也使用羅馬字拼寫本地語言，編寫傳教文書。此「史事」最可能是下列何者？(A)(B)中英鴉片戰爭臺灣開港通商(C)(D)
110,社會,10,10.某時期臺灣官方公布彩票發行辦法，彩票採公開搖獎，開獎次日將中獎號碼刊登於報紙上，中獎者持票向臺灣銀行兌換彩金。此一彩票制度專為殖民地設計，銷售對象以臺灣民眾為主，也企圖吸收中國華南地區的資金。當時公布發行辦法的官方機構，應是下列何者？(A)(B)臺灣總督府臺灣省政府(C)(D)
110,社會,11,11.百川參加一場演講，右列是該場演講曾有語言學家估計，約每兩週就有一中的相關內容。根據內容判斷，該主種語言死亡。還有學者悲觀的認為，講者是在強調下列何者的重要性？五十年後，約有三千種語言或方言消(A)終身學習失，他感嘆的說：當語言死亡以後，(B)全球關連那個群體的特有知識就此喪失，也關(C)文化傳承上了一扇可以觀察世界的獨特窗戶。(D)
110,社會,12,12.新聞報導：近來跨國犯罪案件頻傳，而我國籍嫌犯夥同東南亞犯罪集團詐騙民眾的消息也時有所聞，日前泰國與我國警方聯手破獲跨國詐騙集團，其犯罪所得估計約新臺幣數千萬元，對此泰國感謝我國政府協助偵辦，避免更多泰國民眾受害。根據上述案例推論，未來各國應更加重視下列何者？(A)參與國際社會救助受害國家(B)透過國際合作打擊違法行為(C)加強國際分工以降低生產成本(D)
110,社會,13,13.某大學邀請四位名人蒞校演演講者演講內容()講，表二為此四場演講的錄在院長提請總統任命後，我正式接音檔案片段。根據表中內容判甲任此工作，準備面對挑戰……。斷，下列何者最可能曾任我國在許多案件中，握有審判權的我們乙地方政府公職人員？也常常陷入兩難的局面……。(A)甲質詢經濟部部長的那次經驗，是我丙(B)乙最難忘的回憶……。(C)丙我任職的機關遭到糾正，縣議員也丁(D)丁多次對此提出質詢……。
110,社會,14,14.右列是阿韓說明網路購物的部分內容，根據商家能夠在網際網路上架設內容判斷，此種交易方式最可能降低商家的銷售商品的「虛擬商店」，哪一種生產成本？僅由文字、圖像、影片等訊(A)加工製造息介紹商品，顧客不需出門(B)交通運輸就可滿足消費需求。(C)店面裝潢(D)
110,社會,15,15.考選部提醒，若考生在公務人員考試時舞弊，不僅五年內不能再報名考試，最重還可能被處一年有期徒刑，希望民眾不要以身試法。針對上述違法行為，下列何者屬於國家為了處罰違法者所限制的基本權利？(A)(B)生存權工作權(C)(D)&表現自由＝意見自由
110,社會,16,16.()圖三為臺灣某段時期的人口變化(cid:11)(cid:8)(cid:12)(cid:11578)(cid:11570)(cid:7544)(cid:8865)(cid:14994)(cid:7753)(cid:21)(cid:24)(cid:20159)(cid:11570)(cid:7544)(cid:8865)(cid:14994)(cid:7753)圖，政府針對該變化趨勢可能引發的(cid:21)(cid:19)問題提出許多方案，下列何者最可能(cid:20)(cid:24)為政府提出的方案之一？(cid:20)(cid:19)(A)強化家庭暴力防治(cid:24)(B)推行節制生育政策(cid:19)(cid:20)(cid:28)(cid:28)(cid:26)(cid:21)(cid:19)(cid:19)(cid:26)(cid:21)(cid:19)(cid:20)(cid:26)(cid:11)(cid:11570)(cid:12)(C)增加大學院校校數()圖三(D)
110,社會,17,17.濁水溪近年來因中、下游河床裸露地面積增加，加上許多自然及人為因素的影響，使得沿岸居民飽受河床揚塵風沙之苦，特別是在每年枯水期時更為嚴重。文中揚塵更為嚴重時期常見的氣候特徵為何？(A)(B)東北季風盛行西南季風吹襲(C)(D)
110,社會,18,18.島嶼依形成原因可分為大陸島、火山島與珊瑚礁島，根據上述()的分類，下列何者與圖四中島嶼的類型相同？(A)(B)琉球嶼龜山島(cid:9207)(cid:17613)(cid:27478)(C)(D)
110,社會,19,19.2017年美國總統強調美國優先的政策，要求部分企業回美國設廠。美國某汽車公司在勞力成本的考量下，原本要在同屬《北美自由貿易協定》成員國的甲國設置新廠，卻在此政策下取消原定的設廠計畫，對甲國的汽車產業造成影響。上文中的甲國最可能是指下列何者？(A)(B)中國巴西(C)(D)
110,社會,20,20.「水都」威尼斯位於義大利北部的潟湖區，為著名的觀光勝地，可見到遊客悠閒的漫步在廣場與巷道間。但近年來該地區經常發生淹水，特別在冬季時，遊客必須穿著簡易鞋套走在架高的木棧走道上，形成特殊的景象。上述淹水的情況受自然環境及人為活動的影響日益嚴重，此人為活動最可能包含下列何者？(cid:17392)(A)(B)抽地下水修築堤防(C)(D)
110,社會,21,21.臺灣地形多山，鐵路路線常需興建隧道，才能克服地形障()礙。圖五為臺灣鐵路路線分布圖，若依照臺灣的地形分(cid:7383)布判斷，哪一路段沒有穿越山地或丘陵的隧道？(A)甲(cid:7359)(B)乙(C)丙()圖五(D)
110,社會,22,22.二十世紀初期，一位名叫林謀昌的臺灣人，在福建因為商業訴訟糾紛遭到清朝官吏逮捕、監禁。此事引起日本政府的抗議，並依據與清朝簽訂的條約規定：「日本臣民在中國境內的訴訟，皆由日本派官吏調查、審理，與中國官員無關。」要求釋放林謀昌。上述日本政府援引的條約內容，顯示日本擁有下列哪一特殊待遇？(A)(B)協定關稅設立租界(cid:7383)(C)(D)
110,社會,23,23.(cid:17392)某國的勢力在臺灣依時序先後占領甲、乙、丙三處，如()圖六所示。此國最可能是下列何者？(A)法國(cid:7447)(B)荷蘭(C)日本(D)
110,社會,24,24.()(cid:17392)圖七為十六至十八世紀的世界貿易關係示意圖。甲、乙、丙、丁四洲依序為下列何者？(A)歐洲、非洲、美洲、亞洲(B)歐洲、美洲、非洲、亞洲(cid:7359)(cid:7383)(C)亞洲、美洲、非洲、歐洲(cid:7447)(D)
110,社會,25,25.表(三)是小米複習中國史後所做的表(三)整理，依內容推斷，她是針對下列事件起因結果哪兩個事件進行比較？胡族趁皇帝被俘，南北方形成多(A)甲甲：八王之亂、乙：靖難之變亂起事方另立政權國並立局面(B)甲：永嘉之禍、乙：靖康之禍皇帝被俘，部女真部北方領土落(C)甲：安史之亂、乙：黃巢之亂乙分皇族南下，族南下入女真統治(D)甲：靖康之禍、乙：靖難之變另立政權
110,社會,26,26.()圖八呈現蘇聯、美國、英國、(cid:11570)(cid:8388)(cid:20)(cid:28)(cid:22)(cid:28)(cid:20)(cid:28)(cid:23)(cid:19)(cid:20)(cid:28)(cid:23)(cid:20)(cid:20)(cid:28)(cid:23)(cid:21)(cid:20)(cid:28)(cid:23)(cid:22)(cid:20)(cid:28)(cid:23)(cid:23)(cid:20)(cid:28)(cid:23)(cid:24)(cid:9673)(cid:10868)義大利四個國家參與第二次世(cid:17392)界大戰的時段。根據內容判(cid:7447)斷，圖中甲、乙、丙、丁何者(cid:7383)最可能是英國？(cid:7359)(A)甲(B)乙圖(八)(C)(D)
110,社會,27,27.阿克與小山是同一家小吃店的廚師，表(四)為他們的表(四)工作能力比較表。若老闆依比較利益法則為他們分工阿克小山後，決定由阿克負責熱炒料理，小山負責油炸料理，油炸料理20甲則表中的「甲」與「乙」最可能分別為下列何者？30熱炒料理乙(A)2035(B)1530甲：，乙：甲：，乙：/單位：盤小時(C)1525(D)2020
110,社會,28,28.()圖九是馬斯洛需求層次理論示意圖。某學者指出，60%(cid:1176)未來約有的工作可能會被機器人取代，但需要與人面對面、心靈交流，且能滿足客戶心理需求、協(cid:10952)(cid:24715)(cid:26046)(cid:15104)助改善人際關係的工作，在機器人充斥的時代中更顯(cid:908)得重要，例如：心理諮商師、職場治療師等。根據上(cid:1063)述內容判斷，該學者認為在未來的時代中，工作者具(cid:909)備滿足客戶哪一層次需求的能力將顯得更加重要？()圖九(A)(B)甲乙(C)丙(D)丁&需求層次理論＝個人需求層次理論
110,社會,29,29.15主管機關認為某電視臺播放兒童不宜觀賞的影片，因此對其開罰萬元。但該電視臺表示，兒童不宜觀賞的片段已於播出前經過特殊處理，因此將對上述處分進行權利救濟。下列何者依法所能採取的權利救濟方式與上述電視臺相同？(A)超商的店面遭失控車輛撞毀(B)顧客的訂單遭店家任意取消(C)業者違反食安法規遭勒令歇業(cid:7769)(cid:19492)(cid:24717)(cid:13366)(cid:26046)(cid:15104)(cid:24717)(D)
110,社會,30,30.()圖十是甲產品在固定價格下，於某段期間的供需數(cid:12)量圖。若以粗黑線()表示實際交易數量的曲線，則由(cid:13568)(cid:25681)()圖十圖中內容判斷，下列何者最可能是甲產品的交易情形？(A)(B)(C)(D)
110,社會,31,"31.瑞士透過民眾投票的機制，決定是否訂立全國適用的基本薪資規範，此方案(136,000)若通過，瑞士將擁有全球最高的基本月薪保障約新臺幣元，但勞動市場可能也會因此受到影響，最後投票結果否決了該提案。就我國而言，下列何種情況亦會採行類似的機制做出決定？(A)(B)(C)(D)"
110,社會,32,32.某旅遊節目以介紹各國具代表性的()景點及活動為主，圖十一為某次的外景行程規畫，此趟外景最可能是前往下列何國拍攝？()圖十一(A)(B)巴西印尼(C)(D)
110,社會,33,33.()800圖十二為某觀光景點附近的地形圖，該地區沿著溪流(cid:17392)(cid:17392)有七家民宿，皆汲取溪水使用。圖中甲、乙、丙、丁四600個地點，何者被傾倒廢棄物導致溪水嚴重汙染時，受到(cid:7383)(cid:7383)(cid:7447)(cid:7447)影響的民宿家數最多？400m(A)甲(cid:7359)(cid:7359)(cid:7359)(B)乙(cid:15352)(cid:11174)(cid:15514)(cid:15656)()(C)圖十二丙(D)丁(cid:27)(cid:19)
110,社會,34,34.()圖十三顯示世界各洲十年間平均壽命的變(cid:11569)(cid:26)(cid:19)化情形，造成甲、乙二洲平均壽命有明顯差(cid:9733)(cid:10171)異的原因，與下列何項因素關係最密切？(cid:9019)(A)甲洲都市化程度較高(cid:14896)(cid:11)(cid:25)(cid:19)(cid:12)(B)乙洲死亡率逐年下降(cid:7447)(C)甲洲人口成長接近停滯(cid:24)(cid:19)(D)
110,社會,35,35.()圖十四為印度某天的新聞報導，報導中的現象最可能發生在下列哪個月分？(A)正逢雨季的八月(B)熱季來臨前的二月(C)雨季來臨前的五月(cid:8750)(cid:11620)(cid:13422)(cid:11893)(cid:24714)(cid:24207)(cid:13789)(cid:17722)(cid:17373)(cid:444)(cid:16495)(cid:15400)(cid:445)(cid:500)(cid:8499)(D)涼季來臨前的十月(cid:7369)(cid:13275)(cid:15053)(cid:23)(cid:24)(cid:11620)(cid:27030)(cid:15721)(cid:19390)(cid:25026)(cid:500)(cid:24286)(cid:12494)(cid:13965)(cid:15223)(cid:23725)
110,社會,36,36.表(五)為某個國家的投資環境簡表(五)介，根據表中資訊判斷，該國最時區東2區(慢臺灣6小時)可能位於下列何地？官方語言葡萄牙語(A)非洲乾、溼季分明，北部位處熱(B)氣候概況歐洲帶，南部位處副熱帶(C)大洋洲1.世界主要天然氣儲存國之一特色(D)南美洲2.擁有該洲東岸最大的深水港
110,社會,37,37.()圖十五是日本對於來到長崎貿易的某國船隻數60量統計圖，根據圖中資訊判斷，此國最可能是40下列何者？20(A)(B)英國中國0(C)葡萄牙(D)西班牙16501675170017251750
110,社會,38,"38.以下是某年國外報紙針對臺灣當時情況的專題報導摘錄：()表六1.禁止人民參政，政府的重要職位，被首長的親信占據。政治2.許多新任的官員，與公務上慣用日語的臺灣人無法順利溝通。社會3.社會秩序混亂，兒童綁架案頻傳。1.臺灣物資大量運往中國，造成物資短缺。2.4民生臺灣的物價比第二次世界大戰期間還高出數倍，如：稻米從每斤18~202402,000經濟元漲到每斤元、煤從每噸元漲到元。政府以每擔1303,000元強制收購蔗糖，但民眾卻要以每擔元購買。()根據表六資料，最能夠幫助我們理解下列哪一事件發生的歷史背景？(A)(B)雷震事件西來庵事件(C)美麗島事件(D)二二八事件&雷震事件，又稱為自由中國事件。"
110,社會,39,39.()「因為戰爭的緣故，北平今北京淪陷，清華大學、北京大學以及南開大學共同組成臨時大學，配合政府應戰策略，先南撤到湖南長沙繼續開課。但敵軍的飛機頻繁轟炸，學生大部分時間都在教室和防空洞間來回跑著。隨著戰事吃緊，政府遷往四川，學校也遷徙到雲南。」文中的戰爭最可能是下列何者？(A)八國聯軍(B)武昌起義(C)八年抗戰(D)
110,社會,40,40.()圖十六是某一朝代主要貨幣的轉變示意圖。此情況最早應發生在下列哪一朝代？(A)(B)秦朝漢朝(C)(D)
110,社會,41,41.()圖十七是旭明上課所做的筆記，根據內容判斷，此堂課的主題最可能是下列何者？(A)戰國時期農業生產力提升(B)六朝時期江南土地的開發(C)隋朝年間耕作技術的傳播(D)
110,社會,42,42.()表七為去年度某商品的部分銷售月分(月)1351012資料。根據表中資料判斷，下列何00當月利潤盈餘虧損盈餘者最可能為該商品的銷售紀錄？(A)(B)(cid:24)(cid:19)(cid:24)(cid:19)(cid:22)(cid:19)(cid:22)(cid:19)(cid:19)(cid:19)(cid:20)(cid:22)(cid:24)(cid:26)(cid:28)(cid:20)(cid:20)(cid:11)(cid:13766)(cid:12)(cid:20)(cid:22)(cid:24)(cid:26)(cid:28)(cid:20)(cid:20)(cid:41)(cid:1058)(cid:42)(C)(D)
110,社會,43,43.老師在課堂上進行猜謎遊戲，要同學從圖()十八提示中猜出謎題所指的官員。根據圖中內容判斷，下列何者屬於此官員的職權範圍？(A)代表國家偵查、追訴刑事犯罪(B)提出憲法修正案及領土變更案(C)在法庭上獨立審判各種訴訟案件(D)
110,社會,44,44.()圖十九為甲、乙二家人之間的親屬關係圖，根據(cid:17392)(cid:7447)我國《民法》規定判斷，下列哪一組合的親屬關係屬於姻親？(cid:11608)(cid:11439)(cid:12488)(cid:7359)(cid:7383)(A)甲與乙(B)乙與戊(cid:22310)(cid:18424)(cid:10520)(cid:10425)(cid:25754)(cid:7808)(cid:22310)(cid:18424)(cid:10289)(cid:12005)(cid:22310)(cid:18424)(cid:22270)(cid:22632)(cid:25754)(cid:7808)(cid:22310)(cid:18424)(cid:17397)(cid:12005)(C)(D)
110,社會,45,45.()表八為我國某行政機關公布的統計資料，根據○○區調解委員會表中資料判斷，下列敘述何者正確？辦理民、刑事事件調解情形(A)屬於告訴乃論刑事事件的件數為550件調解成立550刑事(B)700屬於非告訴乃論刑事事件的件數為件事件調解不成立150(C)200調解不成立，可改提和解的件數共為件300調解成立民事(D)350
110,社會,46,46.()圖二十是我國某次選舉的其中一種選票，關於此種選票的敘述，下列何者最適當？()圖二十(A)顯示我國人民享有集會自由(B)得票率最高者將成為執政黨(C)顯示我國落實地方自治精神(D)
110,社會,47,47.()圖二十一是某雜誌的報導，根據圖中內容判斷，政府最可能採取下列何種措施來因應該報導所指的問題？(A)加速國際貿易的發展(B)調整綜合所得稅稅率()圖二十一(C)鼓勵儲蓄增加存款利息(D)
110,社會,48,48.小玲的奶奶看到電視上播出一部描述臺灣女工生活的電視劇，奶奶回想起民50國年代，從家鄉到高雄加工出口區工廠工作的情景，當時廠區的產品主要出口至國外，以賺取外匯，自己也曾是創造「臺灣經濟奇蹟」的一份子。小玲的奶奶當時負責的工作，最可能是下列何者？(A)研發製作晶圓半導體(B)(cid:17392)監控煉製石油的機器(C)清理製糖機器的甘蔗渣(cid:7447)(D)
110,社會,49,49.()圖二十二是小芬蒐集區公所戳章的旅遊路線示意圖，她發現自己在其中一段路線中，沒有蒐集到任何(cid:7359)一個區公所的戳章。根據圖中內容判斷，上述路線最可能是甲、乙、丙、丁中的何者？(A)(B)甲乙(C)(D)
110,社會,50,50.下列資料為《漢摩拉比法典》中部分條文的內容，根據我國的法律類別判斷，何者相當於現行《刑法》的範圍？(A)自由民娶妻時未訂契約，則此婦女並非其妻子(B)自由民竊取神廟或王宮財物者應被處死，而收受贓物者亦應被處死(C)若自由民無法以銀償還債務，只能以穀物來償還，債權人必須接受(D)
110,社會,51,51.在現代民主政治的運作中，政黨具有許多功能，若以英國議會政治的發展為例，在國會選舉中，獲得議員席次最少的政黨，最可能無法發揮下列哪一項功能？(A)教育社會大眾，培養執政人才(B)監督政府施政，確保分權制衡(C)主導組織政府，負起施政責任(D)
110,社會,52,52.()圖二十三是某一帝國的疆域演變圖。甲區成為該帝國領土，與下列何者關係最為密切？(A)蒙古帝國的擴張(B)奧匈帝國的瓦解(cid:18922)(cid:7358)(cid:25932)(cid:14963)(cid:17730)(cid:17476)(cid:9885)(C)(cid:18922)(cid:7498)(cid:25932)(cid:14963)(cid:17730)(cid:17476)(cid:9885)拜占庭帝國的衰亡(cid:13758)(cid:10213)(cid:19503)(cid:15225)(cid:17730)(cid:17476)(cid:9885)(D)亞歷山大帝國的崛起圖(二十三)
110,社會,53,"53.()2013表九為年原油生產量生產量消費量前五大生產國前五大消費國與消費量前五大國排序。根(千桶/天)(千桶/天)據表中資訊判斷，若僅考量美國12,343美國18,961購油成本，下列國家何者在11,70210,303沙烏地阿拉伯中國原油價格下跌時受益較大？10,7644,531俄羅斯日本(A)日本4,4593,515中國俄羅斯(B)加拿大4,0743,509加拿大印度(C)俄羅斯(D)"
110,社會,54,54.(cid:17392)「十八世紀中期至十九世紀中期，來華貿易的西方人，只能居住在這個城的外圍附近，並與本(cid:7447)地商人進行交易。城門警衛森嚴，西方人不得(cid:7383)進入城內，只能在城牆外活動。」文中所述的(cid:7359)()「城」，應位於圖二十四何處？(A)(B)甲乙(C)(D)
110,社會,55,55.根據自然環境的條件判斷，在中國哪一個地區，最容易看到相似的建築物？(A)東北地區(B)華北地區(C)華南地區(D)
110,社會,56,56.()根據上文對圖二十五建築的描述，可以推斷此類建築最常見於下列何時？(A)荷蘭統治時期(B)鄭氏治臺時期(C)清朝統治前期(D)
110,社會,57,57.上述保護當地老街的工作，最有助於達成下列哪一目標？(A)提升社會福利(B)推動社區營造(C)維持經濟秩序(D)
110,社會,58,58.()根據圖二十七中資訊判斷，此種野生大型貓科動物最常出現在非洲哪一類型的棲息地？(A)樹冠茂密的雨林(B)疏林高草的莽原(cid:17392)(cid:7359)(C)苔蘚廣布的苔原(D)
110,社會,59,59.根據文中支持者的說法，籬內狩獵活動()(cid:7447)(cid:7383)是由圖二十八中何處開始影響經濟活動循環？(A)(B)甲乙(C)(D)()
110,社會,60,60.根據文中內容判斷，反對者對「籬內狩獵」的論點包含下列何者？(A)(B)可能會減少南非的出國人數可能會加速疾病的跨國傳播(C)(D)
110,社會,61,61.()()()根據上文及圖二十九資訊，將遺址、現今河道與浮橋沖毀前舊河()道的相對位置繪製成示意圖，最可能為下列何者？(A)(B)(C)(D)
110,社會,62,62.()根據上文及圖二十九資訊，掩蓋該遺址的泥沙主要來源應為下列哪一地形區？(A)東北平原(B)華北平原(C)黃土高原(D)
110,社會,63,63.()根據上文及圖三十資訊，四尊鐵人擺放的相對位置應為下列何者？(A)(B)(C)(D)
110,自然,1,1.關於粒線體與植物細胞間的關係，下列敘述何者正確？(A)粒線體位於細胞質內(B)粒線體位於葉綠體上(C)粒線體位於細胞核內(D)
110,自然,2,2.人體的血糖濃度可受激素調節，在激素甲的作用下血糖濃度可提升，在激素乙的作用下血糖濃度會降低。下列有關激素甲和激素乙的來源，何者最合理？(A)激素甲、激素乙皆只可能由胰臟分泌(B)激素甲、激素乙皆只可能由腎上腺分泌(C)激素甲可能由胰臟分泌，激素乙可能由腎上腺分泌(D)
110,自然,3,3.111關於光年、萬年、萬公里之間的敘述與比較，下列何者正確？(A)11光年為時間單位，且光年比萬年長(B)11光年為時間單位，且光年比萬年短(C)11光年為距離單位，且光年比萬公里長(D)11
110,自然,4,4.2B玉琳設計一個有關鉛筆在白紙上所畫直線長度與電阻值關係的實驗，實驗方2B法為將鉛筆以相同大小的力，在白紙上畫出粗細相同、長度不同的直線，再以儀器測量直線兩端的電阻值。下列選項中，哪一個實驗紀錄表所反映的實驗設計最符合上述的實驗目的？(A)(B)(cid:3220)(cid:1393)(cid:907)(cid:914)(cid:927)(cid:1124)(cid:3220)(cid:1393)(cid:907)(cid:914)(cid:927)(cid:1124)(cid:4233)(cid:3645)(cid:4479)(cid:5930)2B2B2B2B(cid:4233)(cid:3645)(cid:4479)(cid:5930)BBBB(cid:2736)(cid:2989)(cid:2054)(cid:2123)(mm)0.10.10.10.1(cid:2736)(cid:2989)(cid:2054)(cid:2123)(mm)2.01.00.50.1(cid:1940)(cid:4885)(cid:1999)(cid:2123)(cm)1234(cid:1940)(cid:4885)(cid:1999)(cid:2123)(cm)1234(cid:4253)(cid:2004)(cid:2422)(Ω)(cid:4253)(cid:2004)(cid:2422)(Ω)(C)(D)
110,自然,5,5.科學家可利用生物科技複製動物如桃莉羊，在不考慮突變的情況下，桃莉羊與親代之間的基因相似程度與下列何者不同？(A)番薯及其以塊根繁殖產生的子代(B)青蛙及其以體外受精產生的子代(C)變形蟲及其以分裂生殖產生的子代(D)
110,自然,6,6.「民眾舉報黃老闆工廠中有一批盜採的岩塊，稽查人員到達黃老闆宣稱採集岩塊的地點進行了解，發現此地的岩塊外形比較圓滑，體積較小，而工廠中的岩塊有稜有角，體積也較大，且該地點幾乎不見與工廠中外形、大小相似的岩塊，令稽查人員懷疑黃老闆謊報其採集地點……」根據上述資訊，關於黃老闆實際盜採岩塊的地點與說明，最可能為下列何者？(A)河川上游，因上游雨量較豐沛，岩塊體積普遍較大(B)河川上游，因岩塊被搬運距離短，形狀普遍有稜有角(C)河川下游，因下游河水流量大，岩塊體積普遍較大(D)
110,自然,7,7.()圖一為某地的地質剖面示意圖，其中岩層甲、乙均為沉積(cid:1254)(cid:1988)岩，丙為一岩漿冷卻後的岩脈。若此地地層均未經過倒轉，關於甲、乙、丙形成的先後順序關係，下列推論何者最(cid:1176)(cid:1176)(cid:1063)合理？(cid:908)(cid:908)(A)甲在最上層，故甲最早形成(B)甲在最上層，故甲最晚形成(C)丙切穿甲、乙，故丙最晚形成()圖一(D)
110,自然,8,8.不鏽鋼皂是一種具有肥皂外型的不鏽鋼。業者宣稱當手上沾滿大蒜、洋蔥等傳統肥皂不易去除的味道時，一邊將手與不鏽鋼皂摩擦一邊以流水沖洗，可以消()除部分氣味。小芸設計實驗驗證「不鏽鋼皂能否去除異味」，如表一中的組別一和組別二所示。另外她還設計了組別三的實驗，關於組別三的說明，下列何者合理？表(一)(cid:3220)(cid:1393)(cid:907)(cid:914)(cid:927)(cid:4340)(cid:6221)(cid:1922)(cid:2068)(cid:3834)(cid:3213)(cid:1957)(cid:1580)(cid:972)(cid:6028)(cid:5299)(cid:1580)(cid:972)(cid:6028)(cid:5299)(cid:3567)(cid:2898)(cid:1888)(cid:2185)(cid:2619)(cid:1690)(cid:5930)(cid:2080)(cid:949)(cid:4545)(cid:1690)(cid:949)(cid:4545)(cid:1690)(cid:949)(cid:4545)(cid:1690)(cid:4752)(cid:5396)(cid:2580)(cid:3796)30(cid:2302)30(cid:2302)30(cid:2302)(cid:2178)(cid:1409)(cid:1072)(cid:1053)(cid:1553)(cid:2225)(cid:2178)(cid:2178)(cid:2178)(A)組別三作為「不鏽鋼皂能否去除異味」實驗的實驗組(B)實驗想驗證縮短沖洗的時間，去除異味的功效是否相同(C)實驗想驗證其他形狀的不鏽鋼物品，是否也具有去除異味的功效(D)
110,自然,9,9.小茵以一道雷射光入射一個平面鏡，並記錄入射角θ及反射光與平面鏡的夾X()角，如圖二所示。她改變三次入射角，各次的入射角均不相同，則此三次實X驗數據裡，各次實驗數據的θ與應符合下列哪一個關係式？(A)X＝θ(cid:1892)(cid:4885)(B)X90＋θ＝°(cid:917)(cid:2516)(cid:1216)(cid:848)(cid:1016)(cid:2516)(cid:1216)(C)X902＝°－θX(D)X1802
