年度,科目,題號,通過率,鑑別度
115,國文,42,0.35,0.42
115,英語,42,0.49,0.54
115,社會,42,0.44,0.55
115,自然,42,0.73,0.52
115,英語,43,0.61,0.66
115,社會,43,0.47,0.44
115,自然,43,0.7,0.58
115,社會,44,0.87,0.41
115,自然,44,0.76,0.44
115,社會,45,0.62,0.47
115,自然,45,0.63,0.57
115,社會,46,0.84,0.33
115,自然,46,0.64,0.48
115,社會,47,0.8,0.51
115,自然,47,0.49,0.47
115,社會,48,0.88,0.49
115,自然,48,0.59,0.64
115,社會,49,0.71,0.53
115,自然,49,0.38,0.46
115,社會,50,0.5,0.44
115,自然,50,0.42,0.47
115,社會,51,0.86,0.47
115,社會,52,0.53,0.6
115,社會,53,0.56,0.6
115,社會,54,0.45,0.56
