年度,類別,科目,題號,數值
113,鑑別度,英語,29,0.69
113,鑑別度,社會,29,0.44
113,鑑別度,自然,29,0.49
113,鑑別度,國文,30,0.55
113,鑑別度,英語,30,0.64
113,鑑別度,社會,30,0.29
113,鑑別度,自然,30,0.54
113,鑑別度,國文,31,0.62
113,鑑別度,英語,31,0.57
113,鑑別度,社會,31,0.56
113,鑑別度,自然,31,0.36
113,鑑別度,國文,32,0.58
113,鑑別度,英語,32,0.56
113,鑑別度,社會,32,0.54
113,鑑別度,自然,32,0.37
113,鑑別度,國文,33,0.59
113,鑑別度,英語,33,0.66
113,鑑別度,社會,33,0.39
113,鑑別度,自然,33,0.57
113,鑑別度,國文,34,0.62
113,鑑別度,英語,34,0.49
113,鑑別度,社會,34,0.52
113,鑑別度,自然,34,0.59
113,鑑別度,國文,35,0.57
113,鑑別度,英語,35,0.54
113,鑑別度,社會,35,0.46
113,鑑別度,自然,35,0.52
113,鑑別度,國文,36,0.46
113,鑑別度,英語,36,0.47
113,鑑別度,社會,36,0.27
113,鑑別度,自然,36,0.38
113,鑑別度,國文,37,0.49
113,鑑別度,英語,37,0.55
113,鑑別度,社會,37,0.6
113,鑑別度,自然,37,0.32
113,鑑別度,國文,38,0.46
113,鑑別度,英語,38,0.51
113,鑑別度,社會,38,0.49
113,鑑別度,自然,38,0.31
113,鑑別度,國文,39,0.31
113,鑑別度,英語,39,0.57
113,鑑別度,社會,39,0.44
113,鑑別度,自然,39,0.59
113,鑑別度,國文,40,0.37
113,鑑別度,英語,40,0.58
113,鑑別度,社會,40,0.4
113,鑑別度,自然,40,0.59
113,鑑別度,國文,41,0.35
113,鑑別度,英語,41,0.59
113,鑑別度,社會,41,0.57
113,鑑別度,自然,41,0.54
113,鑑別度,國文,42,0.49
113,鑑別度,英語,42,0.43
113,鑑別度,社會,42,0.48
113,鑑別度,自然,42,0.44
113,鑑別度,英語,43,0.64
113,鑑別度,社會,43,0.54
113,鑑別度,自然,43,0.5
113,鑑別度,社會,44,0.48
113,鑑別度,自然,44,0.47
113,鑑別度,社會,45,0.53
113,鑑別度,自然,45,0.5
113,鑑別度,社會,46,0.5
113,鑑別度,自然,46,0.58
113,鑑別度,社會,47,0.5
113,鑑別度,自然,47,0.57
113,鑑別度,社會,48,0.47
113,鑑別度,自然,48,0.47
113,鑑別度,社會,49,0.56
113,鑑別度,自然,49,0.53
113,鑑別度,社會,50,0.49
113,鑑別度,自然,50,0.41
113,鑑別度,社會,51,0.51
113,鑑別度,社會,52,0.48
113,鑑別度,社會,53,0.5
113,鑑別度,社會,54,0.39
114,通過率,國文,1,0.9
114,通過率,英語聽力,1,0.88
114,通過率,英語,1,0.81
114,通過率,數學,1,0.75
114,通過率,社會,1,0.91
114,通過率,自然,1,0.81
114,通過率,國文,2,0.95
114,通過率,英語聽力,2,0.89
114,通過率,英語,2,0.73
114,通過率,數學,2,0.82
114,通過率,社會,2,0.86
114,通過率,自然,2,0.81
114,通過率,國文,3,0.79
114,通過率,英語聽力,3,0.66
114,通過率,英語,3,0.73
114,通過率,數學,3,0.88
114,通過率,社會,3,0.83
114,通過率,自然,3,0.9
114,通過率,國文,4,0.81
114,通過率,英語聽力,4,0.84
114,通過率,英語,4,0.61
114,通過率,數學,4,0.77
114,通過率,社會,4,0.62
114,通過率,自然,4,0.69
114,通過率,國文,5,0.88
114,通過率,英語聽力,5,0.79
114,通過率,英語,5,0.73
114,通過率,數學,5,0.82
114,通過率,社會,5,0.81
114,通過率,自然,5,0.7
114,通過率,國文,6,0.79
114,通過率,英語聽力,6,0.78
114,通過率,英語,6,0.76
114,通過率,數學,6,0.77
114,通過率,社會,6,0.85
114,通過率,自然,6,0.95
114,通過率,國文,7,0.84
114,通過率,英語聽力,7,0.81
114,通過率,英語,7,0.6
114,通過率,數學,7,0.78
114,通過率,社會,7,0.79
114,通過率,自然,7,0.78
114,通過率,國文,8,0.8
114,通過率,英語聽力,8,0.82
114,通過率,英語,8,0.72
114,通過率,數學,8,0.75
114,通過率,社會,8,0.66
114,通過率,自然,8,0.68
114,通過率,國文,9,0.78
114,通過率,英語聽力,9,0.73
114,通過率,英語,9,0.66
114,通過率,數學,9,0.72
114,通過率,社會,9,0.52
114,通過率,自然,9,0.75
114,通過率,國文,10,0.83
114,通過率,英語聽力,10,0.78
114,通過率,英語,10,0.68
114,通過率,數學,10,0.58
114,通過率,社會,10,0.62
114,通過率,自然,10,0.72
114,通過率,國文,11,0.72
114,通過率,英語聽力,11,0.71
114,通過率,英語,11,0.61
114,通過率,數學,11,0.72
114,通過率,社會,11,0.9
114,通過率,自然,11,0.71
114,通過率,國文,12,0.71
114,通過率,英語聽力,12,0.85
114,通過率,英語,12,0.7
114,通過率,數學,12,0.66
114,通過率,社會,12,0.88
114,通過率,自然,12,0.7
114,通過率,國文,13,0.57
114,通過率,英語聽力,13,0.63
114,通過率,英語,13,0.52
114,通過率,數學,13,0.61
114,通過率,社會,13,0.74
114,通過率,自然,13,0.7
114,通過率,國文,14,0.55
114,通過率,英語聽力,14,0.72
114,通過率,英語,14,0.48
114,通過率,數學,14,0.56
114,通過率,社會,14,0.63
114,通過率,自然,14,0.67
114,通過率,國文,15,0.61
114,通過率,英語聽力,15,0.59
114,通過率,英語,15,0.56
114,通過率,數學,15,0.6
114,通過率,社會,15,0.78
114,通過率,自然,15,0.74
114,通過率,國文,16,0.52
114,通過率,英語聽力,16,0.63
114,通過率,英語,16,0.56
114,通過率,數學,16,0.5
114,通過率,社會,16,0.74
114,通過率,自然,16,0.68
114,通過率,國文,17,0.51
114,通過率,英語聽力,17,0.72
114,通過率,英語,17,0.48
114,通過率,數學,17,0.51
114,通過率,社會,17,0.6
114,通過率,自然,17,0.66
114,通過率,國文,18,0.59
114,通過率,英語聽力,18,0.72
114,通過率,英語,18,0.48
114,通過率,數學,18,0.44
114,通過率,社會,18,0.72
114,通過率,自然,18,0.59
114,通過率,國文,19,0.61
114,通過率,英語聽力,19,0.58
114,通過率,英語,19,0.38
114,通過率,數學,19,0.48
114,通過率,社會,19,0.67
114,通過率,自然,19,0.6
114,通過率,國文,20,0.51
114,通過率,英語聽力,20,0.67
114,通過率,英語,20,0.79
114,通過率,數學,20,0.35
114,通過率,社會,20,0.65
114,通過率,自然,20,0.55
114,通過率,國文,21,0.61
114,通過率,英語聽力,21,0.53
114,通過率,英語,21,0.76
114,通過率,數學,21,0.44
114,通過率,社會,21,0.63
114,通過率,自然,21,0.65
114,通過率,國文,22,0.51
114,通過率,英語,22,0.68
114,通過率,數學,22,0.33
114,通過率,社會,22,0.72
114,通過率,自然,22,0.65
114,通過率,國文,23,0.43
114,通過率,英語,23,0.7
114,通過率,數學,23,0.3
114,通過率,社會,23,0.68
114,通過率,自然,23,0.5
114,通過率,國文,24,0.3
114,通過率,英語,24,0.64
114,通過率,數學,24,0.72
114,通過率,社會,24,0.82
114,通過率,自然,24,0.56
114,通過率,國文,25,0.9
114,通過率,英語,25,0.66
114,通過率,數學,25,0.59
114,通過率,社會,25,0.73
114,通過率,自然,25,0.53
114,通過率,國文,26,0.86
114,通過率,英語,26,0.75
114,通過率,社會,26,0.74
114,通過率,自然,26,0.62
114,通過率,國文,27,0.82
114,通過率,英語,27,0.63
114,通過率,社會,27,0.71
114,通過率,自然,27,0.42
114,通過率,國文,28,0.89
114,通過率,英語,28,0.51
114,通過率,社會,28,0.63
114,通過率,自然,28,0.57
114,通過率,國文,29,0.64
114,通過率,英語,29,0.69
114,通過率,社會,29,0.57
114,通過率,自然,29,0.54
114,通過率,國文,30,0.84
114,通過率,英語,30,0.54
114,通過率,社會,30,0.66
114,通過率,自然,30,0.63
114,通過率,國文,31,0.84
114,通過率,英語,31,0.69
114,通過率,社會,31,0.65
114,通過率,自然,31,0.47
114,通過率,國文,32,0.81
114,通過率,英語,32,0.46
114,通過率,社會,32,0.7
114,通過率,自然,32,0.47
114,通過率,國文,33,0.7
114,通過率,英語,33,0.57
114,通過率,社會,33,0.38
114,通過率,自然,33,0.43
114,通過率,國文,34,0.8
114,通過率,英語,34,0.57
114,通過率,社會,34,0.53
114,通過率,自然,34,0.53
114,通過率,國文,35,0.75
114,通過率,英語,35,0.6
114,通過率,社會,35,0.77
114,通過率,自然,35,0.33
114,通過率,國文,36,0.52
114,通過率,英語,36,0.49
114,通過率,社會,36,0.68
114,通過率,自然,36,0.42
114,通過率,國文,37,0.58
114,通過率,英語,37,0.54
114,通過率,社會,37,0.43
114,通過率,自然,37,0.47
114,通過率,國文,38,0.62
114,通過率,英語,38,0.45
114,通過率,社會,38,0.43
114,通過率,自然,38,0.41
114,通過率,國文,39,0.54
114,通過率,英語,39,0.59
114,通過率,社會,39,0.65
114,通過率,自然,39,0.43
114,通過率,國文,40,0.58
114,通過率,英語,40,0.59
114,通過率,社會,40,0.46
114,通過率,自然,40,0.46
114,通過率,國文,41,0.5
114,通過率,英語,41,0.68
114,通過率,社會,41,0.32
114,通過率,自然,41,0.31
114,通過率,國文,42,0.41
114,通過率,英語,42,0.5
114,通過率,社會,42,0.6
114,通過率,自然,42,0.37
114,通過率,英語,43,0.53
114,通過率,社會,43,0.71
114,通過率,自然,43,0.59
114,通過率,社會,44,0.65
114,通過率,自然,44,0.42
114,通過率,社會,45,0.67
114,通過率,自然,45,0.65
114,通過率,社會,46,0.57
114,通過率,自然,46,0.72
114,通過率,社會,47,0.82
114,通過率,自然,47,0.42
114,通過率,社會,48,0.5
114,通過率,自然,48,0.54
114,通過率,社會,49,0.55
114,通過率,自然,49,0.37
114,通過率,社會,50,0.59
114,通過率,自然,50,0.53
114,通過率,社會,51,0.63
114,通過率,社會,52,0.49
114,通過率,社會,53,0.45
114,通過率,社會,54,0.73
114,鑑別度,國文,1,0.43
114,鑑別度,英語聽力,1,0.46
114,鑑別度,英語,1,0.55
114,鑑別度,數學,1,0.61
114,鑑別度,社會,1,0.35
114,鑑別度,自然,1,0.51
114,鑑別度,國文,2,0.39
114,鑑別度,英語聽力,2,0.52
114,鑑別度,英語,2,0.72
114,鑑別度,數學,2,0.57
114,鑑別度,社會,2,0.46
114,鑑別度,自然,2,0.49
114,鑑別度,國文,3,0.47
114,鑑別度,英語聽力,3,0.47
114,鑑別度,英語,3,0.69
114,鑑別度,數學,3,0.46
114,鑑別度,社會,3,0.49
114,鑑別度,自然,3,0.39
114,鑑別度,國文,4,0.5
114,鑑別度,英語聽力,4,0.52
114,鑑別度,英語,4,0.55
114,鑑別度,數學,4,0.61
114,鑑別度,社會,4,0.47
114,鑑別度,自然,4,0.65
114,鑑別度,國文,5,0.51
114,鑑別度,英語聽力,5,0.6
114,鑑別度,英語,5,0.67
114,鑑別度,數學,5,0.54
114,鑑別度,社會,5,0.4
114,鑑別度,自然,5,0.47
114,鑑別度,國文,6,0.47
114,鑑別度,英語聽力,6,0.64
114,鑑別度,英語,6,0.65
114,鑑別度,數學,6,0.55
114,鑑別度,社會,6,0.52
114,鑑別度,自然,6,0.32
114,鑑別度,國文,7,0.41
114,鑑別度,英語聽力,7,0.65
114,鑑別度,英語,7,0.64
114,鑑別度,數學,7,0.56
114,鑑別度,社會,7,0.5
114,鑑別度,自然,7,0.52
114,鑑別度,國文,8,0.44
114,鑑別度,英語聽力,8,0.58
114,鑑別度,英語,8,0.56
114,鑑別度,數學,8,0.59
114,鑑別度,社會,8,0.53
114,鑑別度,自然,8,0.61
114,鑑別度,國文,9,0.48
114,鑑別度,英語聽力,9,0.64
114,鑑別度,英語,9,0.72
114,鑑別度,數學,9,0.55
114,鑑別度,社會,9,0.44
114,鑑別度,自然,9,0.52
114,鑑別度,國文,10,0.53
114,鑑別度,英語聽力,10,0.63
114,鑑別度,英語,10,0.57
114,鑑別度,數學,10,0.6
114,鑑別度,社會,10,0.44
114,鑑別度,自然,10,0.52
114,鑑別度,國文,11,0.57
114,鑑別度,英語聽力,11,0.62
114,鑑別度,英語,11,0.59
114,鑑別度,數學,11,0.54
114,鑑別度,社會,11,0.35
114,鑑別度,自然,11,0.49
114,鑑別度,國文,12,0.48
114,鑑別度,英語聽力,12,0.59
114,鑑別度,英語,12,0.72
114,鑑別度,數學,12,0.41
114,鑑別度,社會,12,0.49
114,鑑別度,自然,12,0.54
114,鑑別度,國文,13,0.44
114,鑑別度,英語聽力,13,0.68
114,鑑別度,英語,13,0.64
114,鑑別度,數學,13,0.59
114,鑑別度,社會,13,0.38
114,鑑別度,自然,13,0.61
114,鑑別度,國文,14,0.39
114,鑑別度,英語聽力,14,0.66
114,鑑別度,英語,14,0.31
114,鑑別度,數學,14,0.49
114,鑑別度,社會,14,0.52
114,鑑別度,自然,14,0.52
114,鑑別度,國文,15,0.48
114,鑑別度,英語聽力,15,0.7
114,鑑別度,英語,15,0.53
114,鑑別度,數學,15,0.51
114,鑑別度,社會,15,0.51
114,鑑別度,自然,15,0.52
114,鑑別度,國文,16,0.48
114,鑑別度,英語聽力,16,0.49
114,鑑別度,英語,16,0.68
114,鑑別度,數學,16,0.49
114,鑑別度,社會,16,0.41
114,鑑別度,自然,16,0.57
114,鑑別度,國文,17,0.48
114,鑑別度,英語聽力,17,0.61
114,鑑別度,英語,17,0.47
114,鑑別度,數學,17,0.49
114,鑑別度,社會,17,0.49
114,鑑別度,自然,17,0.57
114,鑑別度,國文,18,0.54
114,鑑別度,英語聽力,18,0.62
114,鑑別度,英語,18,0.57
114,鑑別度,數學,18,0.44
114,鑑別度,社會,18,0.39
114,鑑別度,自然,18,0.61
114,鑑別度,國文,19,0.53
114,鑑別度,英語聽力,19,0.42
114,鑑別度,英語,19,0.36
114,鑑別度,數學,19,0.44
114,鑑別度,社會,19,0.39
114,鑑別度,自然,19,0.45
114,鑑別度,國文,20,0.46
114,鑑別度,英語聽力,20,0.63
114,鑑別度,英語,20,0.64
114,鑑別度,數學,20,0.41
114,鑑別度,社會,20,0.42
114,鑑別度,自然,20,0.45
114,鑑別度,國文,21,0.54
114,鑑別度,英語聽力,21,0.47
114,鑑別度,英語,21,0.65
114,鑑別度,數學,21,0.5
114,鑑別度,社會,21,0.58
114,鑑別度,自然,21,0.56
114,鑑別度,國文,22,0.55
114,鑑別度,英語,22,0.7
114,鑑別度,數學,22,0.26
114,鑑別度,社會,22,0.53
114,鑑別度,自然,22,0.58
114,鑑別度,國文,23,0.42
114,鑑別度,英語,23,0.7
114,鑑別度,數學,23,0.33
114,鑑別度,社會,23,0.5
114,鑑別度,自然,23,0.49
114,鑑別度,國文,24,0.27
114,鑑別度,英語,24,0.66
114,鑑別度,數學,24,0.52
114,鑑別度,社會,24,0.49
114,鑑別度,自然,24,0.41
114,鑑別度,國文,25,0.46
114,鑑別度,英語,25,0.6
114,鑑別度,數學,25,0.55
114,鑑別度,社會,25,0.41
114,鑑別度,自然,25,0.45
114,鑑別度,國文,26,0.56
114,鑑別度,英語,26,0.63
114,鑑別度,社會,26,0.5
114,鑑別度,自然,26,0.57
114,鑑別度,國文,27,0.55
114,鑑別度,英語,27,0.69
114,鑑別度,社會,27,0.58
114,鑑別度,自然,27,0.22
114,鑑別度,國文,28,0.48
114,鑑別度,英語,28,0.61
114,鑑別度,社會,28,0.55
114,鑑別度,自然,28,0.57
114,鑑別度,國文,29,0.38
114,鑑別度,英語,29,0.65
114,鑑別度,社會,29,0.47
114,鑑別度,自然,29,0.62
114,鑑別度,國文,30,0.53
114,鑑別度,英語,30,0.62
114,鑑別度,社會,30,0.52
114,鑑別度,自然,30,0.64
114,鑑別度,國文,31,0.45
114,鑑別度,英語,31,0.65
114,鑑別度,社會,31,0.61
114,鑑別度,自然,31,0.54
114,鑑別度,國文,32,0.53
114,鑑別度,英語,32,0.47
114,鑑別度,社會,32,0.52
114,鑑別度,自然,32,0.48
114,鑑別度,國文,33,0.5
114,鑑別度,英語,33,0.63
114,鑑別度,社會,33,0.44
114,鑑別度,自然,33,0.48
114,鑑別度,國文,34,0.52
114,鑑別度,英語,34,0.61
114,鑑別度,社會,34,0.47
114,鑑別度,自然,34,0.58
114,鑑別度,國文,35,0.46
114,鑑別度,英語,35,0.56
114,鑑別度,社會,35,0.56
114,鑑別度,自然,35,0.48
114,鑑別度,國文,36,0.39
114,鑑別度,英語,36,0.49
114,鑑別度,社會,36,0.58
114,鑑別度,自然,36,0.48
114,鑑別度,國文,37,0.53
114,鑑別度,英語,37,0.56
114,鑑別度,社會,37,0.24
114,鑑別度,自然,37,0.48
114,鑑別度,國文,38,0.54
114,鑑別度,英語,38,0.42
114,鑑別度,社會,38,0.35
114,鑑別度,自然,38,0.35
114,鑑別度,國文,39,0.52
114,鑑別度,英語,39,0.61
114,鑑別度,社會,39,0.55
114,鑑別度,自然,39,0.46
114,鑑別度,國文,40,0.34
114,鑑別度,英語,40,0.61
114,鑑別度,社會,40,0.5
114,鑑別度,自然,40,0.36
114,鑑別度,國文,41,0.45
114,鑑別度,英語,41,0.64
114,鑑別度,社會,41,0.39
114,鑑別度,自然,41,0.29
114,鑑別度,國文,42,0.28
114,鑑別度,英語,42,0.51
114,鑑別度,社會,42,0.53
114,鑑別度,自然,42,0.56
114,鑑別度,英語,43,0.6
114,鑑別度,社會,43,0.58
114,鑑別度,自然,43,0.49
114,鑑別度,社會,44,0.53
114,鑑別度,自然,44,0.38
114,鑑別度,社會,45,0.5
114,鑑別度,自然,45,0.47
114,鑑別度,社會,46,0.38
114,鑑別度,自然,46,0.55
114,鑑別度,社會,47,0.46
114,鑑別度,自然,47,0.28
114,鑑別度,社會,48,0.57
114,鑑別度,自然,48,0.54
114,鑑別度,社會,49,0.56
114,鑑別度,自然,49,0.49
114,鑑別度,社會,50,0.53
114,鑑別度,自然,50,0.58
114,鑑別度,社會,51,0.45
114,鑑別度,社會,52,0.5
114,鑑別度,社會,53,0.47
114,鑑別度,社會,54,0.51
115,通過率,國文,1,0.86
115,通過率,英語聽力,1,0.84
115,通過率,英語,1,0.7
115,通過率,數學,1,0.83
115,通過率,社會,1,0.8
115,通過率,自然,1,0.8
115,通過率,國文,2,0.93
115,通過率,英語聽力,2,0.85
115,通過率,英語,2,0.74
115,通過率,數學,2,0.82
115,通過率,社會,2,0.84
115,通過率,自然,2,0.87
115,通過率,國文,3,0.89
115,通過率,英語聽力,3,0.83
115,通過率,英語,3,0.76
115,通過率,數學,3,0.77
115,通過率,社會,3,0.71
115,通過率,自然,3,0.74
115,通過率,國文,4,0.75
115,通過率,英語聽力,4,0.8
115,通過率,英語,4,0.71
115,通過率,數學,4,0.81
115,通過率,社會,4,0.68
115,通過率,自然,4,0.82
115,通過率,國文,5,0.78
115,通過率,英語聽力,5,0.77
115,通過率,英語,5,0.55
115,通過率,數學,5,0.76
115,通過率,社會,5,0.7
115,通過率,自然,5,0.76
115,通過率,國文,6,0.55
115,通過率,英語聽力,6,0.78
115,通過率,英語,6,0.71
115,通過率,數學,6,0.77
115,通過率,社會,6,0.77
115,通過率,自然,6,0.87
115,通過率,國文,7,0.72
115,通過率,英語聽力,7,0.72
115,通過率,英語,7,0.6
115,通過率,數學,7,0.71
115,通過率,社會,7,0.89
115,通過率,自然,7,0.64
115,通過率,國文,8,0.75
115,通過率,英語聽力,8,0.79
115,通過率,英語,8,0.53
115,通過率,數學,8,0.75
115,通過率,社會,8,0.7
115,通過率,自然,8,0.9
115,通過率,國文,9,0.61
115,通過率,英語聽力,9,0.78
115,通過率,英語,9,0.67
115,通過率,數學,9,0.65
115,通過率,社會,9,0.77
115,通過率,自然,9,0.76
115,通過率,國文,10,0.7
115,通過率,英語聽力,10,0.76
115,通過率,英語,10,0.6
115,通過率,數學,10,0.64
115,通過率,社會,10,0.96
115,通過率,自然,10,0.62
115,通過率,國文,11,0.66
115,通過率,英語聽力,11,0.61
115,通過率,英語,11,0.7
115,通過率,數學,11,0.69
115,通過率,社會,11,0.8
115,通過率,自然,11,0.67
115,通過率,國文,12,0.58
115,通過率,英語聽力,12,0.72
115,通過率,英語,12,0.5
115,通過率,數學,12,0.64
115,通過率,社會,12,0.68
115,通過率,自然,12,0.63
115,通過率,國文,13,0.62
115,通過率,英語聽力,13,0.67
115,通過率,英語,13,0.56
115,通過率,數學,13,0.69
115,通過率,社會,13,0.69
115,通過率,自然,13,0.56
115,通過率,國文,14,0.57
115,通過率,英語聽力,14,0.77
115,通過率,英語,14,0.52
115,通過率,數學,14,0.62
115,通過率,社會,14,0.62
115,通過率,自然,14,0.81
115,通過率,國文,15,0.57
115,通過率,英語聽力,15,0.68
115,通過率,英語,15,0.38
115,通過率,數學,15,0.64
115,通過率,社會,15,0.56
115,通過率,自然,15,0.47
115,通過率,國文,16,0.51
115,通過率,英語聽力,16,0.71
115,通過率,英語,16,0.58
115,通過率,數學,16,0.5
115,通過率,社會,16,0.58
115,通過率,自然,16,0.7
115,通過率,國文,17,0.56
115,通過率,英語聽力,17,0.61
115,通過率,英語,17,0.54
115,通過率,數學,17,0.55
115,通過率,社會,17,0.57
115,通過率,自然,17,0.67
115,通過率,國文,18,0.49
115,通過率,英語聽力,18,0.67
115,通過率,英語,18,0.44
115,通過率,數學,18,0.48
115,通過率,社會,18,0.6
115,通過率,自然,18,0.6
115,通過率,國文,19,0.5
115,通過率,英語聽力,19,0.67
115,通過率,英語,19,0.73
115,通過率,數學,19,0.45
115,通過率,社會,19,0.8
115,通過率,自然,19,0.66
115,通過率,國文,20,0.42
115,通過率,英語聽力,20,0.51
115,通過率,英語,20,0.82
115,通過率,數學,20,0.39
115,通過率,社會,20,0.58
115,通過率,自然,20,0.52
115,通過率,國文,21,0.49
115,通過率,英語聽力,21,0.41
115,通過率,英語,21,0.62
115,通過率,數學,21,0.37
115,通過率,社會,21,0.78
115,通過率,自然,21,0.55
115,通過率,國文,22,0.54
115,通過率,英語,22,0.73
115,通過率,數學,22,0.27
115,通過率,社會,22,0.59
115,通過率,自然,22,0.63
115,通過率,國文,23,0.46
115,通過率,英語,23,0.71
115,通過率,數學,23,0.47
115,通過率,社會,23,0.7
115,通過率,自然,23,0.6
115,通過率,國文,24,0.8
115,通過率,英語,24,0.68
115,通過率,數學,24,0.38
115,通過率,社會,24,0.45
115,通過率,自然,24,0.56
115,通過率,國文,25,0.86
115,通過率,英語,25,0.5
115,通過率,數學,25,0.43
115,通過率,社會,25,0.62
115,通過率,自然,25,0.53
115,通過率,國文,26,0.71
115,通過率,英語,26,0.66
115,通過率,社會,26,0.56
115,通過率,自然,26,0.44
115,通過率,國文,27,0.87
115,通過率,英語,27,0.59
115,通過率,社會,27,0.53
115,通過率,自然,27,0.56
115,通過率,國文,28,0.88
115,通過率,英語,28,0.6
115,通過率,社會,28,0.49
115,通過率,自然,28,0.55
115,通過率,國文,29,0.81
115,通過率,英語,29,0.64
115,通過率,社會,29,0.5
115,通過率,自然,29,0.53
115,通過率,國文,30,0.84
115,通過率,英語,30,0.67
115,通過率,社會,30,0.67
115,通過率,自然,30,0.51
115,通過率,國文,31,0.81
115,通過率,英語,31,0.53
115,通過率,社會,31,0.61
115,通過率,自然,31,0.58
115,通過率,國文,32,0.51
115,通過率,英語,32,0.65
115,通過率,社會,32,0.68
115,通過率,自然,32,0.38
115,通過率,國文,33,0.83
115,通過率,英語,33,0.58
115,通過率,社會,33,0.64
115,通過率,自然,33,0.46
115,通過率,國文,34,0.77
115,通過率,英語,34,0.55
115,通過率,社會,34,0.47
115,通過率,自然,34,0.47
115,通過率,國文,35,0.71
115,通過率,英語,35,0.63
115,通過率,社會,35,0.69
115,通過率,自然,35,0.43
115,通過率,國文,36,0.79
115,通過率,英語,36,0.46
115,通過率,社會,36,0.56
115,通過率,自然,36,0.45
115,通過率,國文,37,0.8
115,通過率,英語,37,0.5
115,通過率,社會,37,0.53
115,通過率,自然,37,0.41
115,通過率,國文,38,0.73
115,通過率,英語,38,0.56
115,通過率,社會,38,0.56
115,通過率,自然,38,0.42
115,通過率,國文,39,0.52
115,通過率,英語,39,0.48
115,通過率,社會,39,0.53
115,通過率,自然,39,0.42
115,通過率,國文,40,0.42
115,通過率,英語,40,0.68
115,通過率,社會,40,0.52
115,通過率,自然,40,0.27
115,通過率,國文,41,0.68
115,通過率,英語,41,0.58
115,通過率,社會,41,0.42
115,通過率,自然,41,0.23
115,通過率,國文,42,0.35
115,通過率,英語,42,0.49
115,通過率,社會,42,0.44
115,通過率,自然,42,0.73
115,通過率,英語,43,0.61
115,通過率,社會,43,0.47
115,通過率,自然,43,0.7
115,通過率,社會,44,0.87
115,通過率,自然,44,0.76
115,通過率,社會,45,0.62
115,通過率,自然,45,0.63
115,通過率,社會,46,0.84
115,通過率,自然,46,0.64
115,通過率,社會,47,0.8
115,通過率,自然,47,0.49
115,通過率,社會,48,0.88
115,通過率,自然,48,0.59
115,通過率,社會,49,0.71
115,通過率,自然,49,0.38
115,通過率,社會,50,0.5
115,通過率,自然,50,0.42
115,通過率,社會,51,0.86
115,通過率,社會,52,0.53
115,通過率,社會,53,0.56
115,通過率,社會,54,0.45
115,鑑別度,國文,1,0.44
115,鑑別度,英語聽力,1,0.49
115,鑑別度,英語,1,0.58
115,鑑別度,數學,1,0.55
115,鑑別度,社會,1,0.38
115,鑑別度,自然,1,0.49
115,鑑別度,國文,2,0.4
115,鑑別度,英語聽力,2,0.52
115,鑑別度,英語,2,0.65
115,鑑別度,數學,2,0.5
115,鑑別度,社會,2,0.43
115,鑑別度,自然,2,0.38
115,鑑別度,國文,3,0.45
115,鑑別度,英語聽力,3,0.55
115,鑑別度,英語,3,0.65
115,鑑別度,數學,3,0.59
115,鑑別度,社會,3,0.48
115,鑑別度,自然,3,0.44
115,鑑別度,國文,4,0.36
115,鑑別度,英語聽力,4,0.62
115,鑑別度,英語,4,0.67
115,鑑別度,數學,4,0.55
115,鑑別度,社會,4,0.48
115,鑑別度,自然,4,0.46
115,鑑別度,國文,5,0.55
115,鑑別度,英語聽力,5,0.68
115,鑑別度,英語,5,0.57
115,鑑別度,數學,5,0.53
115,鑑別度,社會,5,0.56
115,鑑別度,自然,5,0.5
115,鑑別度,國文,6,0.44
115,鑑別度,英語聽力,6,0.6
115,鑑別度,英語,6,0.62
115,鑑別度,數學,6,0.52
115,鑑別度,社會,6,0.53
115,鑑別度,自然,6,0.42
115,鑑別度,國文,7,0.42
115,鑑別度,英語聽力,7,0.64
115,鑑別度,英語,7,0.65
115,鑑別度,數學,7,0.62
115,鑑別度,社會,7,0.44
115,鑑別度,自然,7,0.56
115,鑑別度,國文,8,0.45
115,鑑別度,英語聽力,8,0.69
115,鑑別度,英語,8,0.51
115,鑑別度,數學,8,0.56
115,鑑別度,社會,8,0.49
115,鑑別度,自然,8,0.4
115,鑑別度,國文,9,0.48
115,鑑別度,英語聽力,9,0.64
115,鑑別度,英語,9,0.65
115,鑑別度,數學,9,0.59
115,鑑別度,社會,9,0.61
115,鑑別度,自然,9,0.5
115,鑑別度,國文,10,0.48
115,鑑別度,英語聽力,10,0.6
115,鑑別度,英語,10,0.65
115,鑑別度,數學,10,0.56
115,鑑別度,社會,10,0.3
115,鑑別度,自然,10,0.49
115,鑑別度,國文,11,0.44
115,鑑別度,英語聽力,11,0.63
115,鑑別度,英語,11,0.63
115,鑑別度,數學,11,0.59
115,鑑別度,社會,11,0.39
115,鑑別度,自然,11,0.55
115,鑑別度,國文,12,0.47
115,鑑別度,英語聽力,12,0.64
115,鑑別度,英語,12,0.58
115,鑑別度,數學,12,0.61
115,鑑別度,社會,12,0.61
115,鑑別度,自然,12,0.56
115,鑑別度,國文,13,0.59
115,鑑別度,英語聽力,13,0.68
115,鑑別度,英語,13,0.62
115,鑑別度,數學,13,0.62
115,鑑別度,社會,13,0.58
115,鑑別度,自然,13,0.65
115,鑑別度,國文,14,0.4
115,鑑別度,英語聽力,14,0.65
115,鑑別度,英語,14,0.6
115,鑑別度,數學,14,0.57
115,鑑別度,社會,14,0.31
